Participant,Start,End,Sentence
17.Orange.1,00:01.7,00:02.4,"""Alright."""
17.Blue.1,00:03.3,00:09.7,"""Okay, so the most important thing, because it's so cold, I put the extra shirt and pants."""
17.Orange.2,00:03.4,00:04.1,"""Oh."""
17.Blue.2,00:09.7,00:11.7,"""Because that way everybody could be warm."""
17.Orange.3,00:10.0,00:10.4,"""Yeah."""
17.Yellow.1,00:11.7,00:13.3,"""That's what I put too."""
17.Blue.3,00:13.6,00:15.0,"""So, yeah."""
17.Pink.1,00:13.6,00:14.8,"""Sounds good."""
17.Blue.4,00:15.0,00:25.6,"""And then I thought the next one was that the, um, pilot said they were they gave them how far away they were like the direction and whatever."""
17.Orange.4,00:23.9,00:24.5,"""Okay."""
17.Blue.5,00:25.6,00:31.0,"""So I put compass and like the map as like two and three."""
17.Orange.5,00:31.7,00:32.2,"""Okay."""
17.Blue.6,00:32.4,00:36.4,"""Because that way they know what direction they can go to like."""
17.Blue.7,00:36.4,00:41.0,"""So they're -- they have like faster way of getting to somewhere with inhabitancy."""
17.Orange.6,00:41.3,00:44.2,"""Yeah, I had compass as number three."""
17.Orange.7,00:45.1,00:56.3,"""I think something that will keep them sustainable like the food source or a knife or something would be more important just because they need that while they are travelling to this place."""
17.Orange.8,00:56.3,00:58.9,"""Cause it will take them a long time to get there right?"""
17.Pink.2,00:58.9,00:59.3,"""Yeah."""
17.Blue.8,00:59.4,00:59.8,"""Yeah."""
17.Orange.9,00:59.5,01:00.6,"""[unclear]"""
17.Blue.9,01:01.8,01:07.2,"""Okay, so like the chocolate bar goes two and then the compass and map go three."""
17.Pink.3,01:02.6,01:04.2,"""Chocolate, yeah."""
17.Pink.4,01:05.0,01:05.5,"""Yeah."""
17.Orange.10,01:05.3,01:10.0,"""I pu-I think the shortening is more important than the chocolate bar."""
17.Orange.11,01:10.2,01:10.6,"""Really?"""
17.Pink.5,01:12.0,01:13.7,"""Sure $."""
17.Orange.12,01:12.5,01:19.2,"""Well, it's got I know it has like a high fat content, I don't know what it is, but there is a big can of it [unclear]."""
17.Orange.13,01:19.3,01:20.8,"""I think it will last longer."""
17.Pink.6,01:20.9,01:22.1,"""So, put that as two then?"""
17.Orange.14,01:22.4,01:24.9,"""Sure, that's what I put down."""
17.Blue.10,01:23.9,01:28.5,"""I just like the the only thing is that is says can of shortening so there is only one but then it is family sized chocolate bar one per person."""
17.Orange.15,01:27.9,01:28.3,"""Yeah."""
17.Blue.11,01:28.5,01:31.2,"""But then it's family sized chocolate bar, one per person."""
17.Orange.16,01:31.8,01:32.3,"""True."""
17.Orange.17,01:32.7,01:35.2,"""I didn't quite go into that detail $."""
17.Blue.12,01:35.6,01:46.4,"""So, I'm thinking that to get mo-everybody more nutrition, it would be everybody takes a chocolate bar instead of everybody takes like a spoon full of shortening."""
17.Orange.18,01:44.8,01:45.3,"""Mhm."""
17.Orange.19,01:46.1,01:46.6,"""Yeah."""
17.Orange.20,01:46.7,01:49.5,"""And everybody can be kind of responsible for their own ration too $."""
17.Blue.13,01:49.3,01:49.8,"""Yeah."""
17.Pink.7,01:49.4,01:49.8,"""$"""
17.Orange.21,01:49.5,01:51.5,"""That could go good or bad $."""
17.Blue.14,01:51.6,01:58.5,"""Like you could put like you could put chocolate bar and then shortening so that like they will have the food that way."""
17.Orange.22,01:55.3,01:55.7,"""Yeah."""
17.Pink.8,01:56.1,01:56.5,"""Yeah."""
17.Orange.23,01:57.7,01:58.1,"""Sure."""
17.Orange.24,01:58.4,02:00.5,"""Either way though, yeah food definitely important."""
