Participant	Start	End	Decision 
12.Blue.9	01:13.0	01:14.2	Proposal
12.Orange.10	01:14.1	01:15.4	Agreement
12.Pink.13	01:19.6	01:20.2	Agreement
12.Orange.11	01:20.1	01:20.7	Agreement
12.Pink.14	01:20.4	01:20.9	Agreement
12.Blue.12	01:25.9	01:27.7	Proposal
12.Pink.16	01:27.0	01:28.7	Agreement
12.Pink.17	01:29.7	01:35.7	Proposal
12.Orange.12	01:35.7	01:36.3	Agreement
12.Blue.18	01:53.1	01:54.3	Proposal
12.Pink.22	01:54.3	01:57.4	Agreement
12.Orange.15	01:55.2	01:55.9	Agreement
12.Orange.16	01:56.1	01:56.7	Agreement
12.Orange.17	01:56.9	01:57.9	Agreement
12.Pink.23	01:57.8	01:58.8	Confirmation
12.Pink.24	01:59.0	02:00.1	Confirmation
12.Pink.25	02:00.5	02:03.6	Agreement
12.Blue.20	02:01.0	02:02.7	Proposal
12.Blue.21	02:03.9	02:07.0	Proposal
12.Pink.26	02:05.9	02:07.1	Agreement
12.Pink.27	02:07.1	02:07.8	Confirmation
12.Pink.29	02:10.7	02:12.2	Proposal
12.Blue.22	02:12.8	02:13.3	Agreement
12.Blue.23	02:13.4	02:15.7	Agreement & Proposal
12.Pink.30	02:17.0	02:17.7	Agreement
12.Blue.25	02:22.2	02:22.7	Agreement
12.Pink.32	02:25.1	02:26.0	Confirmation
12.Orange.18	02:27.4	02:33.0	Proposal
12.Pink.33	02:31.7	02:33.5	Agreement
12.Green.6	02:33.1	02:33.7	Agreement
12.Orange.19	02:33.5	02:36.3	Proposal
12.Pink.35	02:39.7	02:41.5	Confirmation
12.Pink.36	02:41.7	02:44.3	Proposal
12.Orange.22	02:44.8	02:51.3	Agreement & Proposal
12.Green.7	02:50.5	02:51.2	Agreement
12.Pink.38	02:50.5	02:52.3	Agreement
12.Pink.39	02:52.7	02:53.2	Agreement
12.Pink.41	02:59.3	03:02.2	Confirmation
12.Blue.29	03:02.4	03:03.2	Proposal
12.Pink.47	03:29.5	03:31.9	Agreement
12.Pink.59	04:31.6	04:35.6	Proposal
12.Blue.47	04:36.9	04:37.6	Agreement
12.Blue.48	04:38.4	04:38.8	Agreement
12.Pink.60	04:44.4	04:45.6	Confirmation
12.Blue.51	04:53.4	04:54.4	Proposal
12.Pink.61	04:54.3	04:56.2	Agreement
12.Blue.52	04:54.5	04:55.3	Proposal
12.Pink.63	04:59.1	05:03.5	Proposal
12.Green.18	05:02.6	05:03.0	Agreement
12.Orange.35	05:02.7	05:03.4	Agreement
