Participant	Start	End	Decision 
4.Orange.6	00:39.6	00:44.3	Proposal
4.Yellow.7	00:43.0	00:43.8	Agreement
4.Blue.13	00:43.7	00:47.0	Agreement & Confirmation
4.Orange.7	00:50.1	00:52.6	Proposal
4.Blue.15	00:50.9	00:52.5	Agreement
4.Yellow.8	00:51.5	00:52.6	Agreement
4.Yellow.9	00:52.7	00:53.5	Confirmation
4.Blue.16	00:53.2	00:54.0	Confirmation
4.Orange.8	00:56.4	00:58.9	Proposal
4.Yellow.10	01:01.0	01:01.9	Agreement
4.Blue.19	01:01.3	01:02.5	Agreement
4.Blue.21	01:14.6	01:16.2	Proposal
4.Orange.12	01:16.2	01:16.8	Agreement
4.Yellow.12	01:16.2	01:16.6	Agreement
4.Blue.25	01:28.3	01:30.2	Proposal
4.Orange.15	01:30.9	01:33.3	Proposal
4.Yellow.15	01:34.3	01:34.9	Agreement
4.Orange.23	02:26.4	02:28.6	Proposal
4.Yellow.27	02:28.9	02:30.7	Proposal
4.Orange.26	02:34.6	02:37.3	Proposal
4.Blue.45	02:39.2	02:41.1	Disagreement
4.Orange.28	02:42.3	02:44.1	Proposal
4.Blue.46	02:43.6	02:44.3	Confirmation
4.Blue.47	02:44.3	02:46.3	Proposal
4.Orange.29	02:46.4	02:48.0	Proposal
4.Blue.48	02:48.1	02:49.5	Confirmation
4.Orange.33	03:04.3	03:06.5	Proposal
4.Blue.53	03:05.5	03:07.2	Agreement
4.Yellow.34	03:10.2	03:12.1	Agreement
4.Blue.55	03:10.3	03:11.6	Proposal
4.Orange.34	03:11.4	03:13.3	Agreement
4.Blue.64	03:36.7	03:39.0	Proposal
4.Orange.36	03:39.1	03:39.6	Agreement
4.Orange.39	03:47.7	03:49.6	Proposal
4.Blue.69	03:50.4	03:52.1	Confirmation
4.Yellow.42	03:50.5	03:51.3	Agreement
4.Blue.70	03:52.1	03:53.4	Confirmation
4.Yellow.43	03:54.8	03:55.5	Agreement
