Participant	Start	End	Decision 
15.Purple.43	03:09.2	03:11.6	Proposal
15.Blue.45	04:57.1	05:01.7	Proposal
15.Purple.67	04:59.5	05:01.5	Proposal
15.Orange.30	05:01.1	05:02.3	Proposal
15.Yellow.34	05:01.8	05:02.4	Agreement
15.Orange.31	05:02.9	05:03.5	Confirmation
15.Purple.77	05:22.8	05:25.0	Confirmation
15.Blue.53	05:28.8	05:31.3	Proposal
15.Purple.79	05:31.5	05:33.5	Agreement
15.Orange.35	05:33.9	05:35.3	Agreement
15.Yellow.38	05:35.6	05:40.3	Agreement
15.Yellow.39	05:40.3	05:44.5	Agreement
15.Yellow.40	05:44.6	05:47.8	Disagreement
15.Yellow.41	05:47.8	05:51.1	Disagreement
15.Purple.83	06:10.7	06:13.2	Proposal
15.Blue.62	06:13.3	06:13.9	Agreement
15.Blue.63	06:19.2	06:24.8	Agreement
15.Orange.44	06:39.9	06:43.5	Agreement
15.Orange.51	07:48.9	07:51.1	Agreement
15.Blue.79	07:50.2	07:50.9	Agreement
15.Purple.101	07:50.7	07:51.9	Confirmation
15.Yellow.59	07:51.1	07:51.7	Agreement
15.Orange.52	07:55.5	07:57.3	Proposal
15.Yellow.62	07:59.3	08:03.3	Disagreement
15.Yellow.63	08:03.8	08:05.7	Disagreement
15.Orange.57	08:07.2	08:09.4	Disagreement
15.Purple.138	10:18.5	10:24.5	Proposal
15.Blue.100	10:22.4	10:23.0	Agreement
15.Yellow.78	10:23.4	10:23.8	Agreement
15.Blue.102	10:24.9	10:26.3	Confirmation
15.Blue.106	10:32.3	10:33.0	Proposal
15.Yellow.81	10:32.4	10:33.8	Proposal
15.Yellow.82	10:35.9	10:36.5	Agreement
15.Orange.80	10:39.3	10:39.9	Agreement
15.Yellow.84	10:41.7	10:47.0	Proposal
15.Orange.82	10:48.7	10:49.9	Proposal
15.Blue.110	10:51.0	10:52.8	Disagreement
15.Blue.112	10:58.3	11:00.5	Proposal
15.Blue.114	11:05.9	11:09.0	Proposal
15.Purple.145	11:06.7	11:13.1	Agreement
15.Yellow.88	11:09.7	11:12.5	Agreement
15.Blue.115	11:12.5	11:14.6	Confirmation
15.Purple.146	11:13.8	11:15.1	Agreement
15.Yellow.89	11:21.4	11:24.6	Proposal
15.Purple.147	11:24.8	11:27.0	Proposal
15.Purple.149	11:28.5	11:29.8	Proposal
15.Yellow.90	11:28.6	11:29.3	Agreement
15.Blue.116	11:29.5	11:30.9	Agreement
15.Yellow.91	11:30.3	11:30.8	Agreement
15.Purple.151	11:33.7	11:34.6	Proposal
15.Blue.117	11:37.1	11:38.6	Agreement
15.Blue.118	11:38.6	11:44.0	Agreement
15.Purple.154	11:43.1	11:45.2	Agreement
15.Yellow.93	11:44.1	11:44.7	Agreement
15.Yellow.94	11:45.4	11:47.4	Agreement
15.Purple.155	11:46.6	11:47.5	Agreement
15.Blue.121	11:49.8	11:53.1	Agreement
15.Orange.91	11:56.7	12:00.6	Proposal
15.Yellow.95	11:57.7	11:58.4	Agreement
15.Purple.158	11:58.8	11:59.6	Disagreement
15.Purple.159	11:59.6	12:01.5	Disagreement
15.Orange.92	12:01.1	12:01.7	Confirmation
15.Yellow.99	12:26.3	12:28.5	Proposal
15.Orange.99	12:27.9	12:30.0	Confirmation
15.Blue.128	12:28.6	12:29.4	Agreement
15.Blue.138	13:13.3	13:14.6	Proposal
15.Yellow.103	13:15.3	13:15.8	Agreement
15.Orange.103	13:23.7	13:25.7	Agreement
15.Purple.183	13:24.3	13:27.4	Proposal
15.Blue.143	13:25.7	13:26.1	Agreement
15.Blue.144	13:27.4	13:27.8	Agreement
15.Purple.185	13:33.3	13:35.3	Proposal
15.Blue.147	13:34.6	13:35.0	Agreement
15.Blue.148	13:35.3	13:35.8	Agreement
15.Orange.104	13:36.1	13:37.1	Confirmation
15.Orange.105	13:37.4	13:37.8	Agreement
15.Blue.149	13:37.5	13:38.0	Agreement
15.Blue.152	13:49.1	13:52.6	Proposal
15.Purple.189	13:52.1	13:57.6	Agreement
15.Yellow.110	14:36.7	14:41.4	Proposal
15.Purple.202	14:40.6	14:41.6	Agreement
15.Blue.165	14:41.5	14:42.0	Agreement
15.Blue.166	14:47.4	14:50.9	Confirmation
15.Purple.205	14:51.5	14:52.6	Confirmation
15.Orange.113	14:51.7	14:53.3	Confirmation
15.Purple.206	14:53.0	14:53.5	Confirmation
15.Blue.171	15:06.1	15:08.8	Proposal
15.Orange.114	15:11.1	15:13.9	Agreement
15.Purple.210	15:11.1	15:12.4	Agreement
15.Yellow.113	15:15.2	15:15.8	Agreement
15.Orange.115	15:26.2	15:29.5	Proposal
15.Blue.179	15:28.5	15:28.9	Agreement
15.Purple.213	15:29.1	15:30.4	Agreement
