Participant	Start	End	Decision 
3.Pink.12	00:50.9	00:53.4	Agreement
3.Pink.13	00:53.4	00:55.5	Agreement
3.Pink.27	01:54.6	02:01.7	Agreement
3.Green.42	03:00.9	03:02.3	Proposal
3.Green.43	03:06.2	03:10.3	Proposal
3.Pink.41	03:22.5	03:31.0	Proposal
3.Green.46	03:29.2	03:33.1	Agreement
3.Green.47	03:33.1	03:33.5	Agreement
3.Pink.46	03:39.9	03:43.6	Proposal
3.Green.48	03:43.0	03:43.7	Agreement
3.Pink.48	03:44.8	03:47.8	Proposal
3.Green.49	03:47.9	03:49.1	Agreement
3.Green.50	03:49.5	03:50.1	Agreement
3.Pink.52	03:53.7	03:55.5	Proposal
3.Green.52	03:55.6	03:56.4	Agreement
3.Pink.61	04:32.1	04:33.7	Proposal
3.Green.61	04:34.8	04:42.0	Disagreement
3.Pink.69	05:04.2	05:09.4	Proposal
3.Green.69	05:18.2	05:19.0	Agreement
3.Pink.75	05:22.4	05:26.2	Proposal
3.Green.71	05:27.2	05:31.5	Agreement
3.Green.72	05:34.7	05:40.4	Proposal
3.Pink.78	05:38.9	05:39.6	Agreement
3.Pink.79	05:40.6	05:41.4	Agreement
3.Pink.80	05:44.8	05:46.0	Proposal
3.Green.78	06:04.2	06:05.9	Disagreement
3.Green.79	06:10.3	06:12.4	Disagreement
3.Green.80	06:12.4	06:16.3	Disagreement
3.Green.85	06:43.4	06:46.2	Proposal
3.Pink.88	06:46.6	06:47.1	Agreement
3.Pink.89	06:51.9	06:54.7	Proposal
3.Green.87	06:53.2	06:53.9	Agreement
3.Pink.97	07:19.0	07:26.8	Proposal
3.Green.91	07:26.8	07:27.4	Agreement
3.Pink.99	07:31.2	07:33.9	Proposal
3.Green.92	07:34.6	07:37.7	Agreement
3.Green.96	07:49.1	07:56.2	Proposal
3.Pink.104	07:55.9	07:56.4	Agreement
