Participant	Start	End	Decision 
10.Pink.4	00:12.5	00:13.6	Proposal
10.Pink.12	00:51.4	00:53.2	Proposal
10.Orange.14	00:54.0	00:54.6	Agreement
10.Pink.13	00:54.3	00:55.3	Proposal
10.Pink.15	01:02.5	01:03.1	Proposal
10.Orange.16	01:03.2	01:04.4	Agreement
10.Pink.18	01:11.3	01:14.2	Proposal
10.Orange.17	01:16.7	01:18.0	Agreement
10.Orange.18	01:18.0	01:18.9	Agreement
10.Orange.25	01:39.9	01:41.0	Proposal
10.Pink.24	01:41.0	01:42.6	Proposal
10.Orange.26	01:43.0	01:44.5	Agreement
10.Orange.27	01:44.7	01:46.5	Proposal
10.Pink.26	01:46.3	01:47.5	Confirmation
10.Orange.30	01:57.2	01:59.8	Proposal
10.Pink.29	01:59.6	02:00.4	Agreement
10.Orange.31	02:00.2	02:01.9	Proposal
10.Pink.31	02:05.3	02:06.1	Proposal
10.Orange.33	02:06.1	02:06.6	Agreement
10.Pink.42	02:56.1	02:58.9	Proposal
10.Orange.46	02:59.0	02:59.8	Agreement
10.Pink.43	03:00.3	03:03.7	Confirmation
