Participant	Start	End	Decision 
22.Pink.3	00:38.7	00:40.1	Proposal
22.Blue.15	00:40.1	00:41.3	Agreement
22.Orange.4	00:41.4	00:42.0	Agreement
22.Orange.5	00:46.4	00:47.8	Proposal
22.Pink.5	00:47.3	00:48.7	Agreement
22.Blue.17	00:48.7	00:50.1	Agreement
22.Pink.13	01:25.6	01:27.3	Proposal
22.Blue.25	01:27.0	01:27.6	Agreement
22.Blue.26	01:29.1	01:31.0	Confirmation
22.Blue.33	02:21.7	02:24.1	Proposal
22.Orange.21	02:25.3	02:25.9	Agreement
22.Pink.25	02:25.7	02:27.3	Agreement
22.Pink.30	02:53.3	02:55.0	Proposal
22.Orange.25	02:54.5	02:56.4	Agreement
22.Blue.38	02:56.0	02:56.4	Agreement
22.Blue.53	03:40.3	03:41.2	Proposal
22.Pink.42	03:58.6	03:59.9	Proposal
22.Pink.46	04:22.0	04:23.2	Proposal
22.Orange.38	04:23.1	04:24.6	Agreement
22.Orange.43	04:57.4	04:58.9	Proposal
22.Pink.52	04:57.9	04:59.7	Proposal
22.Blue.71	04:58.9	04:59.5	Agreement
22.Orange.44	04:59.2	04:59.9	Agreement
22.Blue.73	05:01.9	05:06.0	Proposal
22.Pink.53	05:05.5	05:08.1	Agreement
22.Orange.45	05:06.8	05:09.4	Agreement
22.Pink.54	05:08.1	05:09.5	Agreement
22.Pink.55	05:15.9	05:17.5	Proposal
22.Blue.77	05:17.5	05:19.2	Agreement
22.Orange.46	05:17.8	05:18.5	Agreement
22.Orange.47	05:25.1	05:30.0	Proposal
22.Pink.57	05:30.1	05:31.8	Agreement
22.Blue.79	05:32.3	05:33.8	Agreement
22.Pink.58	05:39.4	05:40.7	Proposal
22.Orange.49	05:41.5	05:42.7	Agreement
22.Blue.81	05:44.4	05:46.6	Confirmation
