Participant	Start	End	Decision 
16.Blue.3	00:08.5	00:10.6	Proposal
16.Pink.2	00:10.8	00:11.8	Agreement
16.Yellow.5	00:15.7	00:16.4	Agreement
16.Yellow.8	00:20.4	00:22.0	Confirmation
16.Yellow.19	01:01.8	01:03.1	Proposal
16.Yellow.28	01:24.9	01:26.9	Confirmation
16.Blue.28	02:30.7	02:34.3	Proposal
16.Yellow.44	02:34.8	02:36.0	Agreement
16.Yellow.45	02:36.7	02:37.4	Agreement
16.Pink.8	02:38.2	02:38.6	Agreement
16.Yellow.48	02:40.0	02:40.7	Confirmation
16.Pink.9	02:45.6	02:48.3	Proposal
16.Yellow.51	02:48.3	02:49.9	Agreement
16.Blue.30	02:51.0	02:52.5	Agreement
16.Pink.11	03:24.3	03:25.9	Proposal
16.Yellow.62	03:33.3	03:34.6	Proposal & Disagreement
16.Pink.14	03:35.3	03:37.3	Agreement
16.Blue.36	03:37.2	03:38.7	Proposal
16.Yellow.64	03:39.2	03:41.5	Agreement
16.Yellow.65	03:42.3	03:44.0	Confirmation
16.Blue.40	04:02.1	04:03.3	Proposal
16.Yellow.72	04:08.4	04:09.6	Agreement
16.Yellow.78	04:36.4	04:37.9	Proposal
16.Pink.17	04:38.0	04:38.4	Agreement
16.Yellow.79	04:38.6	04:40.3	Proposal
16.Blue.43	04:42.9	04:44.5	Agreement
16.Blue.45	04:48.5	04:49.8	Proposal
16.Yellow.81	04:49.4	04:49.7	Agreement
16.Pink.18	04:50.9	04:51.2	Agreement
16.Blue.49	05:08.5	05:11.1	Proposal
16.Yellow.87	05:11.1	05:11.5	Agreement
16.Pink.19	05:14.1	05:14.5	Agreement
16.Yellow.91	05:22.9	05:26.1	Proposal
16.Blue.51	05:32.5	05:35.2	Proposal
16.Yellow.94	05:33.9	05:34.4	Agreement
16.Yellow.95	05:35.2	05:36.9	Confirmation
