Participant	Start	End	Decision 
1.Blue.3	00:09.8	00:11.2	Proposal
1.Pink.5	00:19.7	00:21.6	Proposal
1.Blue.7	00:23.9	00:25.0	Agreement
1.Blue.18	01:05.2	01:09.0	Proposal
1.Pink.17	01:11.2	01:11.8	Confirmation
1.Green.9	01:11.6	01:12.2	Agreement
1.Pink.20	01:29.2	01:32.6	Proposal
1.Green.13	01:31.5	01:32.1	Agreement
1.Blue.23	01:32.5	01:33.1	Agreement
1.Green.14	01:32.9	01:33.6	Agreement
1.Pink.22	01:35.0	01:37.1	Proposal
1.Blue.24	01:40.2	01:40.8	Agreement
1.Green.15	01:41.4	01:43.6	Disagreement
1.Green.16	01:43.6	01:47.0	Disagreement
1.Pink.29	01:56.6	02:01.0	Confirmation
1.Pink.66	04:31.4	04:33.2	Proposal
1.Blue.69	04:33.1	04:34.3	Agreement
1.Green.42	04:33.8	04:34.2	Agreement
1.Pink.75	05:13.8	05:15.6	Proposal
1.Blue.76	05:15.6	05:17.5	Agreement
1.Pink.76	05:17.2	05:18.2	Confirmation
1.Green.49	05:17.8	05:18.9	Disagreement
1.Pink.102	07:13.6	07:14.7	Proposal
1.Green.73	07:14.1	07:16.9	Proposal
1.Blue.109	07:14.8	07:16.4	Agreement
1.Blue.110	07:16.4	07:19.9	Proposal
1.Green.82	08:06.3	08:08.3	Proposal
1.Blue.120	08:08.4	08:09.2	Agreement
1.Pink.112	08:09.7	08:11.8	Confirmation
1.Green.84	08:11.9	08:13.0	Confirmation
1.Green.85	08:13.9	08:15.3	Confirmation
1.Blue.123	08:16.9	08:20.6	Proposal
1.Green.86	08:21.9	08:24.2	Disagreement
1.Pink.114	08:29.2	08:33.0	Proposal
1.Blue.126	08:33.6	08:35.0	Agreement
1.Pink.115	08:36.5	08:39.8	Proposal
1.Blue.127	08:37.9	08:40.0	Agreement
1.Green.88	08:40.0	08:40.8	Agreement
1.Blue.131	09:22.0	09:25.4	Proposal
1.Green.90	09:24.6	09:25.3	Agreement
1.Pink.120	09:25.4	09:26.2	Agreement
1.Green.91	09:27.4	09:27.8	Agreement
1.Green.92	09:29.7	09:32.2	Proposal
1.Pink.121	09:33.1	09:35.1	Confirmation
