Participant	Start	End	Decision 
9.Green.58	03:01.3	03:04.8	Proposal
9.Pink.51	03:04.8	03:06.0	Agreement
9.Blue.25	03:05.4	03:05.8	Agreement
9.Green.62	03:16.3	03:17.7	Proposal
9.Blue.26	03:17.5	03:18.3	Agreement
9.Pink.53	03:17.9	03:19.7	Agreement
9.Pink.54	03:21.9	03:22.9	Proposal
9.Green.64	03:22.7	03:23.4	Agreement
9.Pink.57	03:30.8	03:33.8	Proposal
9.Blue.27	03:33.6	03:34.4	Agreement
9.Green.68	03:34.7	03:35.6	Agreement
9.Green.69	03:35.6	03:38.8	Agreement
9.Green.70	03:39.4	03:43.5	Proposal
9.Blue.28	03:44.6	03:45.3	Agreement
9.Pink.60	03:45.5	03:47.1	Agreement
9.Green.75	04:02.0	04:03.8	Proposal
9.Pink.64	04:03.4	04:05.0	Agreement
9.Blue.30	04:05.0	04:07.5	Disagreement
9.Green.82	04:33.8	04:35.7	Proposal
9.Pink.73	04:36.1	04:37.4	Agreement
9.Green.83	04:39.1	04:40.7	Confirmation
9.Pink.75	04:47.7	04:48.6	Proposal
9.Green.87	04:50.0	04:51.8	Agreement
9.Blue.37	04:59.2	05:00.0	Proposal
9.Pink.80	05:00.1	05:01.2	Agreement
9.Green.93	05:02.6	05:04.1	Agreement
9.Green.98	05:19.2	05:23.6	Proposal
9.Blue.39	05:23.1	05:23.8	Agreement
9.Pink.85	05:24.0	05:24.5	Agreement
9.Blue.40	05:24.1	05:25.2	Agreement
9.Green.99	05:25.4	05:27.2	Proposal
9.Pink.86	05:25.4	05:26.9	Confirmation
9.Green.100	05:28.2	05:32.6	Confirmation
9.Green.103	05:44.5	05:46.3	Proposal
9.Pink.89	05:46.0	05:47.9	Agreement
9.Blue.42	05:46.4	05:47.5	Agreement
9.Pink.91	05:48.8	05:50.4	Proposal
9.Green.104	05:52.1	05:52.7	Agreement
9.Blue.43	05:53.0	05:53.5	Agreement
9.Green.105	05:53.9	05:55.7	Agreement
9.Green.107	06:02.9	06:07.5	Proposal
9.Pink.98	06:07.3	06:08.7	Agreement
9.Blue.44	06:07.5	06:08.1	Agreement
