Participant	Start	End	Decision 
25.Pink.2	00:04.5	00:08.4	Proposal
25.Orange.1	00:08.4	00:09.2	Agreement
25.Orange.2	00:09.9	00:11.3	Agreement
25.Orange.3	00:11.9	00:12.7	Agreement
25.Blue.1	00:16.4	00:18.6	Disagreement
25.Blue.2	00:18.6	00:20.6	Disagreement
25.Blue.3	00:21.0	00:25.5	Proposal
25.Orange.9	00:42.5	00:44.0	Disagreement
25.Blue.11	00:43.7	00:45.8	Agreement
25.Orange.10	00:44.0	00:46.5	Disagreement
25.Pink.10	00:44.7	00:46.4	Agreement
25.Pink.11	00:46.8	00:49.9	Confirmation
25.Pink.23	01:40.6	01:46.6	Proposal
25.Orange.22	01:47.4	01:49.0	Agreement
25.Orange.23	01:49.0	01:49.8	Agreement
25.Blue.20	01:49.3	01:51.4	Disagreement
25.Pink.29	02:07.1	02:10.4	Proposal
25.Orange.28	02:11.5	02:12.3	Agreement
25.Orange.29	02:12.6	02:13.6	Agreement
25.Pink.56	03:41.4	03:44.0	Proposal
25.Blue.44	03:45.1	03:48.1	Proposal
25.Pink.57	03:48.9	03:50.9	Agreement
25.Orange.43	03:53.9	03:54.5	Agreement
25.Orange.45	04:01.6	04:03.9	Agreement
25.Orange.46	04:05.6	04:08.6	Proposal
25.Blue.47	04:07.5	04:08.4	Agreement
25.Pink.64	04:08.4	04:10.9	Agreement
25.Blue.48	04:10.5	04:11.1	Agreement
25.Pink.68	04:25.8	04:28.1	Proposal
25.Blue.53	04:28.8	04:30.7	Disagreement
25.Orange.52	04:32.4	04:33.1	Agreement
25.Pink.71	04:35.1	04:39.1	Confirmation
25.Orange.54	04:39.2	04:39.8	Agreement
25.Orange.55	04:40.7	04:43.3	Proposal
25.Blue.55	04:43.0	04:43.6	Agreement
25.Pink.73	04:43.1	04:45.6	Agreement
25.Pink.75	04:47.4	04:49.6	Confirmation
25.Pink.79	05:00.8	05:05.3	Proposal
25.Orange.59	05:05.7	05:09.9	Disagreement
25.Orange.60	05:10.4	05:13.2	Proposal
25.Blue.58	05:13.2	05:13.8	Agreement
25.Blue.60	05:34.6	05:37.5	Agreement
25.Pink.88	05:35.6	05:37.5	Disagreement
25.Pink.89	05:37.5	05:41.3	Disagreement
25.Pink.90	05:41.3	05:43.2	Disagreement
25.Pink.94	05:48.1	05:51.1	Disagreement
25.Orange.68	06:05.6	06:07.9	Proposal
25.Blue.62	06:08.0	06:10.4	Agreement
25.Pink.100	06:12.1	06:13.2	Proposal & Disagreement
25.Orange.70	06:13.6	06:14.2	Agreement
25.Orange.74	06:24.4	06:25.7	Proposal
25.Pink.107	06:25.6	06:27.6	Agreement
25.Pink.109	06:31.9	06:34.3	Proposal
25.Orange.77	06:37.8	06:39.4	Proposal
25.Pink.113	06:53.0	06:53.8	Proposal
25.Orange.83	06:58.0	06:58.8	Agreement
25.Pink.120	07:14.6	07:18.6	Proposal
25.Orange.87	07:18.8	07:20.2	Agreement
25.Pink.126	07:28.8	07:31.0	Proposal
25.Orange.89	07:31.0	07:31.8	Agreement
25.Orange.90	07:37.4	07:39.1	Proposal
25.Blue.78	07:39.2	07:39.8	Agreement
25.Pink.129	07:39.9	07:41.7	Agreement
