Participant	Start	End	Decision 
24.Orange.20	00:55.6	00:58.4	Proposal
24.Blue.18	00:57.7	00:59.4	Agreement
24.Orange.29	01:30.5	01:32.9	Proposal
24.Blue.26	01:32.9	01:33.4	Agreement
24.Orange.33	01:50.7	01:53.9	Proposal
24.Blue.34	02:06.2	02:08.9	Disagreement
24.Blue.35	02:09.0	02:10.2	Disagreement
24.Blue.36	02:10.2	02:11.1	Disagreement
24.Blue.37	02:11.1	02:12.3	Disagreement
24.Pink.19	02:13.5	02:15.3	Proposal
24.Pink.21	02:19.0	02:20.6	Proposal
24.Orange.50	03:07.8	03:18.8	Proposal & Disagreement
24.Pink.36	03:58.8	04:02.3	Proposal
24.Orange.58	04:02.4	04:02.9	Agreement
24.Orange.59	04:02.9	04:04.6	Agreement
24.Blue.68	04:03.7	04:04.3	Agreement
24.Orange.60	04:04.6	04:05.5	Agreement
24.Pink.46	04:30.3	04:34.1	Proposal
24.Orange.67	04:32.3	04:34.0	Agreement
24.Orange.68	04:34.0	04:35.7	Agreement
24.Blue.78	04:36.7	04:37.1	Disagreement
24.Blue.79	04:37.1	04:38.4	Disagreement
24.Blue.80	04:38.4	04:40.7	Disagreement
24.Blue.85	04:54.4	04:58.5	Disagreement
24.Blue.86	04:58.5	05:00.8	Disagreement
24.Blue.87	05:01.4	05:06.2	Disagreement
24.Blue.90	05:08.1	05:13.1	Disagreement
24.Blue.98	05:37.9	05:40.2	Agreement
24.Orange.80	05:40.2	05:44.5	Disagreement
24.Blue.103	05:47.8	05:51.0	Proposal
24.Pink.58	05:53.5	05:55.3	Agreement
24.Orange.82	05:53.9	05:55.3	Agreement
24.Pink.60	05:59.2	06:01.5	Agreement
24.Orange.84	05:59.8	06:01.9	Confirmation
24.Orange.86	06:04.8	06:06.6	Confirmation
24.Orange.92	06:38.5	06:48.4	Proposal
24.Blue.117	06:48.4	06:49.3	Agreement
24.Blue.118	06:51.0	06:51.9	Agreement
24.Orange.94	06:52.3	06:53.7	Confirmation
24.Blue.119	06:53.2	06:53.7	Agreement
24.Pink.68	06:53.8	06:55.7	Agreement
24.Blue.130	07:26.4	07:30.6	Proposal
24.Orange.101	07:30.8	07:35.4	Disagreement
24.Orange.107	07:48.6	07:53.7	Proposal
24.Pink.77	08:12.6	08:14.4	Proposal
24.Orange.113	08:17.2	08:19.1	Proposal
24.Blue.142	08:19.4	08:22.9	Disagreement
24.Blue.150	08:44.8	08:48.8	Disagreement
24.Blue.155	09:03.7	09:05.7	Proposal
24.Orange.126	09:08.1	09:10.6	Agreement
24.Orange.127	09:10.6	09:14.9	Disagreement
24.Orange.129	09:25.5	09:27.5	Agreement
24.Orange.131	09:31.8	09:32.9	Agreement
24.Orange.132	09:32.9	09:37.2	Confirmation
24.Blue.161	09:40.3	09:44.0	Proposal
24.Orange.136	09:46.5	09:48.6	Agreement
24.Orange.142	10:04.2	10:10.5	Disagreement
24.Orange.145	10:21.4	10:25.1	Proposal
24.Blue.173	10:26.5	10:27.2	Agreement
24.Orange.146	10:30.2	10:33.0	Proposal
24.Blue.175	10:33.0	10:34.2	Agreement
24.Blue.176	10:34.2	10:35.0	Agreement
24.Pink.89	10:36.0	10:37.2	Agreement
24.Blue.177	10:36.9	10:37.8	Agreement
24.Orange.152	10:57.5	10:59.4	Proposal
24.Blue.183	10:58.3	10:59.4	Agreement
24.Orange.155	11:05.0	11:07.2	Confirmation
24.Blue.187	11:06.9	11:07.6	Agreement
24.Pink.99	11:11.1	11:14.4	Proposal
24.Orange.156	11:14.2	11:15.5	Agreement
24.Blue.189	11:16.2	11:18.6	Agreement
24.Blue.193	11:28.0	11:32.0	Proposal
24.Pink.102	11:28.1	11:29.6	Agreement
24.Orange.163	11:28.7	11:30.1	Agreement
24.Orange.165	11:34.8	11:37.9	Confirmation
24.Orange.167	11:39.7	11:41.0	Confirmation
24.Orange.169	11:41.7	11:42.8	Confirmation
24.Blue.201	11:54.9	11:56.5	Proposal
24.Orange.178	12:09.5	12:12.1	Proposal
24.Orange.185	12:28.6	12:33.3	Proposal
24.Blue.209	12:31.9	12:32.7	Agreement
24.Blue.213	12:47.4	12:50.0	Proposal
24.Orange.188	12:52.7	12:55.0	Agreement
