Participant,Start,End,Sentiment 
19.Blue.32,03:18.1,03:19.9,Positive
19.Blue.33,03:22.9,03:29.2,Positive
19.Blue.34,03:30.2,03:33.0,Positive
19.Pink.45,04:40.1,04:41.8,Positive
19.Orange.32,04:42.0,04:43.9,Positive
19.Orange.33,04:44.5,04:44.9,Positive
19.Pink.46,04:44.8,04:47.8,Negative
19.Orange.39,05:42.8,05:43.4,Positive
19.Blue.53,05:43.1,05:44.1,Positive
19.Pink.67,05:43.7,05:46.4,Positive
19.Pink.74,06:14.7,06:16.8,Positive
19.Blue.55,06:15.8,06:17.7,Positive
19.Blue.57,06:32.6,06:33.2,Positive
