Participant,Start,End,Sentiment 
6.Pink.11,00:43.0,00:45.0,Negative
6.Orange.2,00:59.6,01:00.3,Positive
6.Pink.18,01:02.1,01:06.5,Negative
6.Blue.11,01:07.0,01:14.7,Negative
6.Green.51,03:41.8,03:45.3,Positive
6.Blue.34,03:43.8,03:44.6,Positive
6.Green.53,03:47.2,03:48.3,Negative
6.Green.56,04:00.0,04:01.2,Positive
6.Green.63,04:17.1,04:17.7,Positive
6.Pink.89,06:07.7,06:10.9,Positive
6.Orange.24,06:10.4,06:10.9,Positive
6.Pink.90,06:10.9,06:13.1,Positive
6.Green.93,06:40.7,06:41.5,Positive
6.Blue.72,07:06.0,07:09.4,Positive & Negative
6.Blue.73,07:10.0,07:11.5,Negative
6.Green.104,07:15.4,07:17.7,Positive & Negative
6.Orange.29,07:15.8,07:17.7,Positive
6.Pink.111,07:32.1,07:39.6,Negative
6.Pink.115,07:48.3,07:53.1,Negative
6.Green.116,07:52.5,07:53.9,Negative
6.Orange.31,07:54.8,07:55.8,Positive & Negative
6.Green.118,07:54.9,07:56.2,Positive & Negative
6.Blue.80,07:56.2,07:57.4,Positive & Negative
6.Orange.34,08:54.3,08:56.3,Positive
6.Blue.87,08:54.5,08:57.3,Positive
6.Blue.91,09:07.7,09:08.4,Positive
