Participant	Start	End	Sentiment 
9.Pink.8	00:27.2	00:28.3	Positive
9.Pink.9	00:28.4	00:29.0	Positive
9.Blue.7	00:33.5	00:34.0	Negative
9.Pink.11	00:34.2	00:35.8	Negative
9.Blue.8	00:35.8	00:36.4	Negative
9.Pink.19	01:06.6	01:07.8	Positive
9.Blue.17	01:32.8	01:33.0	Positive
9.Pink.26	01:33.2	01:37.4	Positive
9.Green.30	01:39.5	01:40.0	Positive
9.Green.32	01:46.4	01:48.8	Negative
9.Pink.31	01:47.0	01:48.7	Positive
9.Blue.18	01:49.1	01:49.5	Positive
9.Pink.33	01:50.7	01:51.6	Negative
9.Pink.34	01:51.7	01:55.5	Positive & Negative
9.Pink.44	02:33.2	02:33.6	Positive
9.Pink.46	02:42.6	02:43.0	Positive
9.Green.54	02:42.8	02:44.9	Positive
9.Green.55	02:44.9	02:47.4	Positive
9.Pink.47	02:47.3	02:48.2	Positive
9.Pink.49	02:50.3	02:54.1	Positive
9.Pink.50	02:54.1	02:54.8	Positive
9.Blue.24	02:54.6	02:54.9	Positive
9.Green.66	03:25.4	03:29.1	Negative
9.Pink.55	03:25.9	03:27.2	Negative
9.Pink.56	03:27.2	03:28.0	Positive & Negative
9.Green.72	03:46.8	03:48.5	Positive
9.Pink.61	03:48.3	03:49.1	Positive
9.Green.79	04:19.5	04:21.6	Positive
9.Pink.69	04:21.5	04:22.2	Positive
9.Blue.32	04:21.7	04:22.7	Positive
9.Green.80	04:22.6	04:24.0	Positive
9.Pink.70	04:27.5	04:28.2	Positive
9.Pink.71	04:29.6	04:30.5	Positive
9.Pink.72	04:30.5	04:33.6	Positive
9.Green.87	04:50.0	04:51.8	Positive
9.Green.88	04:51.8	04:52.1	Positive
9.Pink.77	04:52.1	04:52.8	Positive
9.Pink.83	05:10.2	05:11.0	Positive
9.Blue.46	06:25.1	06:26.1	Positive
9.Blue.47	06:26.1	06:26.5	Positive
9.Pink.102	06:30.2	06:31.0	Positive
9.Green.115	06:30.6	06:33.1	Negative
9.Pink.103	06:32.8	06:33.9	Positive
