Participant	Start	End	Sentiment 
13.Yellow.33	00:56.7	00:58.2	Positive
13.Blue.19	01:12.1	01:13.9	Positive
13.Yellow.47	01:31.8	01:34.0	Negative
13.Blue.31	02:40.7	02:41.5	Positive
13.Yellow.110	04:03.4	04:05.6	Positive
13.Yellow.111	04:05.6	04:06.3	Positive
13.Yellow.169	06:25.1	06:26.2	Positive
13.Blue.68	06:25.6	06:26.2	Positive
13.Yellow.182	06:52.8	06:53.9	Negative
13.Yellow.183	06:53.9	06:54.6	Negative
13.Yellow.195	07:23.5	07:24.7	Negative
13.Yellow.196	07:24.8	07:25.4	Negative
13.Yellow.224	08:34.0	08:37.4	Negative
13.Blue.91	08:35.8	08:36.5	Positive
13.Yellow.225	08:37.5	08:39.7	Negative
