Participant	Start	End	Sentiment 
17.Blue.1	00:03.3	00:09.7	Negative
17.Blue.2	00:09.7	00:11.7	Positive
17.Pink.1	00:13.6	00:14.8	Positive
17.Pink.5	01:12.0	01:13.7	Positive
17.Orange.17	01:32.7	01:35.2	Positive
17.Pink.7	01:49.4	01:49.8	Positive
17.Orange.21	01:49.5	01:51.5	Positive & Negative
17.Orange.34	03:09.4	03:11.5	Positive
17.Blue.38	04:11.1	04:17.1	Positive
17.Pink.16	04:15.8	04:16.7	Positive
17.Orange.43	04:15.9	04:18.0	Positive
17.Orange.44	04:18.9	04:22.4	Negative
17.Orange.46	04:31.2	04:32.9	Negative
17.Pink.22	05:11.3	05:12.7	Positive
17.Orange.58	05:21.8	05:24.4	Positive
17.Pink.23	05:25.0	05:26.2	Positive
17.Pink.24	05:27.6	05:29.3	Positive
17.Pink.30	06:00.2	06:01.0	Positive
17.Blue.69	07:40.5	07:41.0	Positive
17.Orange.80	07:59.3	08:01.3	Positive
17.Pink.43	08:00.5	08:01.5	Positive
17.Orange.87	08:41.2	08:42.1	Positive
17.Orange.95	09:11.8	09:13.9	Positive & Negative
17.Pink.47	09:30.0	09:30.8	Positive
17.Orange.98	09:30.0	09:31.7	Positive
17.Blue.95	09:52.2	09:53.2	Positive
17.Orange.109	10:20.3	10:20.9	Positive
17.Pink.53	10:46.6	10:47.9	Positive
17.Pink.57	10:55.2	10:56.3	Positive
17.Orange.113	11:06.7	11:07.7	Positive
17.Orange.114	11:11.7	11:12.7	Positive
17.Pink.64	11:13.8	11:15.2	Positive
17.Orange.117	11:28.8	11:33.2	Positive
17.Pink.68	11:41.6	11:42.8	Positive
17.Orange.121	11:42.9	11:43.6	Positive
17.Pink.76	12:05.0	12:05.9	Positive
17.Pink.79	12:11.7	12:15.3	Positive
17.Orange.124	12:14.7	12:15.5	Positive
17.Orange.126	12:38.7	12:39.4	Positive
