Participant	Start	End	Sentiment 
25.Blue.4	00:25.5	00:27.2	Positive
25.Orange.6	00:25.6	00:26.8	Positive
25.Blue.9	00:39.9	00:41.3	Positive
25.Pink.8	00:40.0	00:42.5	Positive & Negative
25.Pink.15	01:02.9	01:10.4	Positive
25.Blue.12	01:05.7	01:07.1	Positive
25.Pink.17	01:15.4	01:18.1	Positive
25.Blue.17	01:29.0	01:32.1	Positive
25.Pink.20	01:29.1	01:31.8	Positive
25.Orange.19	01:30.7	01:32.3	Positive
25.Blue.18	01:39.0	01:40.6	Positive
25.Orange.20	01:39.7	01:40.5	Positive
25.Pink.27	01:56.8	02:01.0	Positive
25.Orange.26	01:59.9	02:03.0	Positive
25.Blue.25	02:00.0	02:03.6	Positive
25.Pink.28	02:01.0	02:07.1	Positive
25.Orange.32	02:29.5	02:31.3	Positive
25.Blue.28	02:29.6	02:31.3	Positive
25.Pink.42	02:42.9	02:44.7	Positive
25.Blue.30	02:43.1	02:44.8	Positive
25.Orange.35	02:43.6	02:44.6	Positive
25.Pink.58	03:50.9	03:54.6	Positive
25.Blue.45	03:51.8	03:53.8	Positive
25.Orange.42	03:52.4	03:53.9	Positive
25.Pink.61	04:00.4	04:01.6	Positive
25.Pink.77	04:53.9	04:58.0	Positive
25.Blue.56	04:56.9	04:57.8	Positive
25.Orange.58	04:56.9	04:57.9	Positive
25.Pink.85	05:24.9	05:27.1	Positive
25.Blue.59	05:25.3	05:26.9	Positive
25.Orange.63	05:25.4	05:27.7	Positive
25.Pink.95	05:53.9	05:59.2	Positive
25.Pink.96	05:59.2	06:01.4	Positive
25.Pink.102	06:14.9	06:17.8	Positive
25.Orange.71	06:15.1	06:18.3	Positive
25.Blue.63	06:15.7	06:17.6	Positive
25.Orange.72	06:19.1	06:20.6	Positive
25.Blue.64	06:20.4	06:22.7	Positive
25.Orange.73	06:20.9	06:22.3	Positive
25.Blue.69	06:45.4	06:46.7	Positive
25.Pink.110	06:45.6	06:46.6	Positive
25.Orange.80	06:45.8	06:47.3	Positive
25.Pink.111	06:46.6	06:51.3	Positive
25.Pink.115	06:58.6	07:00.5	Positive
25.Blue.73	07:12.2	07:13.7	Negative
25.Blue.76	07:19.9	07:22.8	Positive
25.Pink.122	07:20.4	07:23.2	Positive
25.Orange.93	07:49.3	07:50.4	Positive
25.Blue.80	07:51.3	07:52.4	Positive
25.Blue.81	07:53.7	07:56.1	Positive
