Participant	Start	End	Sentiment 
5.Pink.3	00:25.7	00:26.5	Positive
5.Yellow.4	00:27.6	00:33.6	Negative
5.Yellow.5	00:33.6	00:36.9	Negative
5.Yellow.13	01:29.8	01:33.4	Positive
5.Blue.29	02:42.0	02:44.0	Positive
5.Pink.26	03:30.8	03:32.0	Negative
5.Blue.45	03:32.2	03:33.3	Negative
5.Blue.46	03:33.3	03:34.3	Positive & Negative
5.Orange.33	04:56.2	04:57.1	Positive
5.Yellow.44	05:00.5	05:04.4	Positive
5.Blue.70	05:04.2	05:05.6	Positive
5.Yellow.45	05:04.4	05:05.3	Positive
5.Pink.31	05:05.5	05:10.7	Negative
5.Pink.32	05:10.7	05:13.3	Negative
5.Orange.41	05:39.7	05:42.0	Negative
5.Orange.45	05:51.9	05:53.2	Positive
5.Blue.78	05:53.3	05:55.1	Positive
5.Orange.46	05:54.4	05:55.5	Positive
5.Yellow.51	06:02.1	06:05.0	Positive & Negative
5.Yellow.55	06:28.7	06:29.8	Positive
5.Orange.57	06:38.5	06:39.6	Positive
5.Orange.58	06:40.1	06:41.6	Positive
5.Orange.61	06:50.2	06:51.2	Positive
5.Pink.47	07:16.7	07:20.7	Negative
5.Yellow.74	09:24.9	09:26.2	Negative
5.Yellow.75	09:26.2	09:27.2	Positive & Negative
5.Yellow.77	09:33.7	09:35.6	Positive
5.Orange.75	09:36.4	09:40.6	Positive
5.Pink.54	09:47.7	09:53.6	Negative
5.Pink.55	11:19.2	11:24.2	Negative
5.Blue.127	11:35.4	11:35.8	Positive
5.Orange.85	11:39.8	11:46.2	Negative
5.Orange.86	11:46.2	11:48.0	Negative
5.Yellow.94	11:47.6	11:48.4	Negative
5.Blue.128	12:09.7	12:14.7	Negative
5.Blue.129	12:14.7	12:17.4	Negative
5.Blue.131	12:23.9	12:26.5	Negative
5.Orange.90	12:30.4	12:33.0	Positive
5.Pink.61	12:32.5	12:34.3	Positive
