Participant	Start	End	Sentiment 
27.Pink.7	00:33.4	00:34.7	Positive
27.Orange.13	00:34.1	00:35.4	Positive
27.Pink.9	00:44.8	00:46.8	Positive
27.Blue.6	00:54.9	00:56.0	Positive
27.Pink.16	01:28.0	01:33.8	Positive
27.Blue.11	01:31.4	01:32.8	Positive
27.Pink.18	01:51.8	01:54.9	Positive
27.Blue.28	04:38.7	04:39.9	Positive
27.Pink.46	04:39.0	04:43.7	Positive
27.Pink.47	04:48.6	04:49.7	Positive
27.Pink.48	04:49.7	04:51.3	Positive
27.Pink.59	05:22.6	05:30.8	Positive
27.Blue.31	05:27.4	05:29.8	Positive
27.Orange.95	05:27.8	05:29.9	Positive
27.Pink.60	05:36.2	05:36.8	Positive
27.Pink.70	06:51.7	06:55.1	Positive
27.Pink.78	07:33.9	07:35.5	Positive
27.Orange.130	07:34.8	07:35.8	Positive
