Participant,Start,End,Sentence
16.Yellow.1,00:01.8,00:03.8,"""Were we supposed to write them as a group"""
16.Blue.1,00:03.8,00:04.1,"""Yeah"""
16.Pink.1,00:04.0,00:04.4,"""Yeah"""
16.Blue.2,00:04.5,00:04.9,"""Yeah"""
16.Yellow.2,00:04.9,00:07.1,"""Okay what did you guys put for one I guess"""
16.Blue.3,00:08.5,00:10.6,"""I think the extra shirt and pants"""
16.Pink.2,00:10.8,00:11.8,"""Yeah I put that as well"""
16.Blue.4,00:11.9,00:16.6,"""Cause I figure its gonna be really cold $"""
16.Yellow.3,00:13.0,00:14.1,"""Oh shoot"""
16.Yellow.4,00:14.2,00:15.3,"""$"""
16.Yellow.5,00:15.7,00:16.4,"""Okay sure"""
16.Yellow.6,00:16.9,00:17.7,"""Two against one"""
16.Yellow.7,00:17.7,00:19.2,"""I put a knife but like you know"""
16.Blue.5,00:19.5,00:20.2,"""$"""
16.Yellow.8,00:20.4,00:22.0,"""Okay wait extra shirt and pants"""
16.Yellow.9,00:22.6,00:23.0,"""Kay"""
16.Yellow.10,00:23.7,00:24.2,"""Thank you"""
16.Yellow.11,00:25.3,00:27.6,"""Um I put a flashlight with batteries"""
16.Blue.6,00:30.2,00:31.2,"""I did compass"""
16.Pink.3,00:31.5,00:32.6,"""I did compass as """
16.Yellow.12,00:32.9,00:35.0,"""Wow $"""
16.Pink.4,00:33.8,00:34.6,"""$"""
16.Blue.7,00:33.9,00:37.1,"""$"""
16.Yellow.13,00:35.1,00:36.5,"""Okay okay like how many"""
16.Yellow.14,00:36.7,00:38.1,"""Okay for three"""
16.Blue.8,00:38.5,00:43.2,"""I dont think any of us actually been in this situation before so"""
16.Yellow.15,00:40.6,00:43.2,"""Yeah no I dont know $"""
16.Pink.5,00:43.7,00:45.5,"""I just did flashlight for three yeah"""
16.Yellow.16,00:47.1,00:48.5,"""I put a pistol"""
16.Blue.9,00:51.5,00:53.6,"""I put I put a quart of eighty proof whiskey"""
16.Yellow.17,00:53.8,00:55.4,"""$"""
16.Blue.10,00:55.4,00:59.4,"""But then for number four I put newspaper cause I figured you could use the two to make a fire"""
16.Yellow.18,00:59.7,01:01.4,"""Oh oh"""
16.Pink.6,01:00.8,01:01.3,"""Mhm"""
16.Yellow.19,01:01.8,01:03.1,"""Okay should we do that for three"""
16.Yellow.20,01:03.5,01:04.3,"""Uh"""
16.Yellow.21,01:05.0,01:05.6,"""[unclear]"""
16.Blue.11,01:08.2,01:10.5,"""Because theres a cigarette lighter but it has no fluid"""
16.Yellow.22,01:10.7,01:12.3,"""Yeah so its like completely useless"""
16.Blue.12,01:11.5,01:13.2,"""So I ranked that as fifteen"""
16.Yellow.23,01:13.2,01:13.5,"""Yeah"""
16.Blue.13,01:13.3,01:17.0,"""Thats like thats [unclear] useless $"""
16.Yellow.24,01:14.0,01:15.0,"""Useless"""
16.Yellow.25,01:16.0,01:18.9,"""Okay so four should we should we do $"""
16.Blue.14,01:17.0,01:18.5,"""That will do nothing"""
16.Blue.15,01:19.1,01:22.5,"""Unless theres other uses for a empty lighter"""
16.Yellow.26,01:21.3,01:23.5,"""Yeah like $"""
16.Blue.16,01:22.5,01:24.2,"""But I dont think so"""
16.Yellow.27,01:24.1,01:24.6,"""No"""
16.Yellow.28,01:24.9,01:26.9,"""Okay so then we have newspaper"""
16.Yellow.29,01:26.9,01:27.9,"""And then for five"""
16.Blue.17,01:31.3,01:32.2,"""[unclear]"""
16.Yellow.30,01:32.4,01:33.8,"""Yeah mines gone"""
16.Yellow.31,01:34.3,01:36.3,"""I did extra shirt and pants for five $"""
16.Yellow.32,01:36.5,01:38.3,"""Apparently I dont care about people $"""
16.Blue.18,01:37.9,01:38.7,"""$"""
16.Blue.19,01:40.7,01:42.1,"""So we did shirts and pants"""
16.Blue.20,01:42.2,01:45.0,"""Shirt and pants compass and then newspaper"""
16.Yellow.33,01:45.9,01:46.3,"""Yeah"""
16.Yellow.34,01:48.0,01:48.9,"""So now were on five"""
16.Blue.21,01:51.5,01:55.4,"""Now were warm ish"""
16.Yellow.35,01:55.5,01:56.1,"""Kinda"""
16.Blue.22,01:57.6,01:59.9,"""Does anyone know what a sectional air map is"""
16.Yellow.36,02:01.7,02:03.1,"""Sectional"""
16.Blue.23,02:03.2,02:04.2,"""$"""
16.Yellow.37,02:03.6,02:04.5,"""No $"""
16.Yellow.38,02:04.5,02:05.5,"""$ I was like what"""
16.Pink.7,02:06.2,02:08.2,"""Its probably like a map of the region or something"""
16.Yellow.39,02:08.6,02:09.7,"""Just like a map"""
16.Blue.24,02:11.0,02:12.1,"""Oh maybe"""
16.Yellow.40,02:12.6,02:13.8,"""Will that be important to have"""
16.Yellow.41,02:13.9,02:14.8,"""I dont really """
16.Blue.25,02:16.3,02:17.2,"""Probably"""
16.Yellow.42,02:18.0,02:18.7,"""For five"""
16.Blue.26,02:19.8,02:23.2,"""Uh so I next thought was like shelter"""
16.Yellow.43,02:23.6,02:23.9,"""Mhm"""
16.Blue.27,02:23.9,02:29.1,"""Cause theres yeah it says the plane has been completely destroyed except for the frame"""
16.Blue.28,02:30.7,02:34.3,"""So yeah my five was rope"""
