Participant,Start,End,Sentence
8.Blue.1,00:02.6,00:03.2,"""Alright"""
8.Green.1,00:03.3,00:04.4,"""[unclear]"""
8.Orange.1,00:03.8,00:08.6,"""Um what did you guys have for n your first um option for most impor """
8.Blue.2,00:07.7,00:08.5,"""I put compass"""
8.Green.2,00:08.4,00:10.5,"""I put compass as well $"""
8.Orange.2,00:08.6,00:09.9,"""I put compass too"""
8.Orange.3,00:09.9,00:11.5,"""Okay I think thats the safe bet"""
8.Blue.3,00:10.6,00:11.1,"""Alright"""
8.Green.3,00:11.7,00:12.3,"""Alright"""
8.Orange.4,00:12.6,00:16.0,"""Um cause then you can try to go where theres """
8.Green.4,00:15.3,00:18.5,"""At least you can navigate and figure out where you going so $"""
8.Orange.5,00:16.5,00:17.0,"""Yeah"""
8.Blue.4,00:18.5,00:19.8,"""Uh number two I said knife"""
8.Orange.6,00:18.6,00:19.1,"""Um"""
8.Green.5,00:19.9,00:21.4,"""I said knife too $"""
8.Orange.7,00:19.9,00:21.1,"""I also said knife"""
8.Orange.8,00:21.1,00:22.2,"""Okay $"""
8.Green.6,00:23.3,00:23.9,"""Look at us"""
8.Orange.9,00:24.3,00:27.8,"""Um three I put the extra shirt and pants for each survivor"""
8.Green.7,00:27.4,00:28.0,"""So did I"""
8.Blue.5,00:28.0,00:28.8,"""I put map"""
8.Orange.10,00:29.1,00:29.6,"""Okay"""
8.Orange.11,00:30.6,00:31.2,"""Um"""
8.Blue.6,00:31.1,00:33.1,"""But yeah that makes a little more sense yeah"""
8.Green.8,00:31.8,00:33.0,"""Very specifically"""
8.Orange.12,00:32.4,00:36.2,"""I mean its looking at negative forty at night but"""
8.Blue.7,00:33.7,00:34.4,"""Its cold"""
8.Green.9,00:35.6,00:38.8,"""Yeah I was about to say its like really cold so"""
8.Blue.8,00:36.0,00:36.4,"""Yeah"""
8.Orange.13,00:37.8,00:38.4,"""Um"""
8.Blue.9,00:38.3,00:40.6,"""No use knowing where youre going if you freeze to death"""
8.Orange.14,00:40.6,00:41.9,"""$ very true"""
8.Green.10,00:41.1,00:43.6,"""So so are we going to go with the extra shirt and pants"""
8.Blue.10,00:42.0,00:42.5,"""Yeah"""
8.Blue.11,00:42.7,00:44.3,"""Yeah I would do that for three"""
8.Green.11,00:44.4,00:44.8,"""Okay"""
8.Orange.15,00:46.2,00:48.4,"""Um what did you guys get for four"""
8.Blue.12,00:48.4,00:50.7,"""I said compress kit with giz gauze"""
8.Green.12,00:51.3,00:57.6,"""I put the whiskey because you could use it to help make a fire if you needed to cause it has alcohol in it but"""
8.Orange.16,00:59.0,00:59.7,"""Okay"""
8.Blue.13,00:59.7,01:00.7,"""What about you"""
8.Orange.17,00:59.8,01:01.6,"""Um well okay"""
8.Orange.18,01:01.6,01:04.6,"""I put flashlight but I also forgot about the compress kit"""
8.Orange.19,01:04.6,01:07.8,"""So I would probably go with the compress kit and then """
8.Green.13,01:07.1,01:07.6,"""Okay"""
8.Green.14,01:07.6,01:12.1,"""The thing with the flashlight is I dont think its super important because its 11:32 in the morning"""
8.Orange.20,01:10.5,01:11.1,"""Yeah"""
8.Orange.21,01:12.0,01:12.8,"""In the morning"""
8.Green.15,01:12.1,01:13.8,"""I mean its still light so"""
8.Orange.22,01:13.0,01:13.5,"""Yeah"""
8.Blue.14,01:13.8,01:15.6,"""But you also have to walk eighty miles"""
8.Orange.23,01:15.9,01:17.7,"""Very true very true"""
8.Blue.15,01:16.0,01:17.4,"""If no ones coming to find you"""
8.Blue.16,01:17.6,01:19.0,"""And that takes like three days"""
8.Green.16,01:18.1,01:20.9,"""So so eventually well need the flashlight"""
8.Orange.24,01:19.5,01:20.3,"""But I think """
8.Green.17,01:20.9,01:24.0,"""But at this exact moment in time I do not feel like we need it"""
8.Orange.25,01:22.1,01:29.5,"""Yeah I would probably go with the compress kit over the flashlight just cause injury is more important than seeing in the dark probably"""
8.Green.18,01:27.8,01:29.6,"""Okay so lets go with okay so lets """
8.Blue.17,01:28.7,01:29.0,"""Yeah"""
8.Blue.18,01:29.2,01:30.5,"""Compress kit sounds good for four"""
8.Green.19,01:29.6,01:30.5,"""Lets go with compress kit"""
8.Green.20,01:30.5,01:31.7,"""That was four right"""
8.Orange.26,01:31.2,01:31.7,"""Yeah"""
8.Blue.19,01:31.3,01:31.6,"""Yeah"""
8.Green.21,01:32.2,01:32.8,"""Okay"""
8.Blue.20,01:33.5,01:34.5,"""Five I have a flashlight"""
8.Orange.27,01:34.7,01:35.2,"""$"""
8.Green.22,01:34.9,01:37.9,"""I had newspaper cause again I was going with the fire thing so"""
