Participant,Start,End,Sentence
21.Blue.1,00:00.0,00:02.0,"""What do you guys have f for the first one"""
21.Pink.1,00:03.4,00:06.1,"""Uh I put the extra clothing"""
21.Blue.2,00:06.8,00:07.4,"""Mhm"""
21.Blue.3,00:08.0,00:08.9,"""What did you have"""
21.Orange.1,00:08.9,00:10.2,"""I put the compress kit"""
21.Blue.4,00:11.1,00:13.1,"""What exactly is the compress kit"""
21.Orange.2,00:14.0,00:17.1,"""Um I just thought it was like an emergency kind of kit that has stuff in it"""
21.Pink.2,00:17.4,00:18.5,"""Yeah thats what I assumed too"""
21.Pink.3,00:18.5,00:22.1,"""Its in my its in my top um its in my top few"""
21.Pink.4,00:22.1,00:23.3,"""But I didnt put it as a first one"""
21.Pink.5,00:23.3,00:24.8,"""But it is definitely important"""
21.Blue.5,00:24.9,00:25.4,"""Okay"""
21.Blue.6,00:25.5,00:29.5,"""So what I had was the sectional air map"""
21.Blue.7,00:29.7,00:37.7,"""And my like thought behind it was because thats like youll know where you are and you can find where the safety faster"""
21.Blue.8,00:38.4,00:44.0,"""Um e so I have the air map and the compass as one and two"""
21.Blue.9,00:44.8,00:55.4,"""Um after like I have like the map stuff I have uh like things for fire to start a fire"""
21.Orange.3,00:55.4,00:55.8,"""Mhm"""
21.Pink.6,00:55.8,00:56.2,"""Hm"""
21.Orange.4,00:56.2,00:56.8,"""Yeah"""
21.Blue.10,00:57.3,01:02.7,"""Um well actually I I do have the extra shirt and pants as a third though"""
21.Orange.5,01:03.4,01:07.2,"""For number two I had the newspaper just so I can like start the fire or something"""
21.Blue.11,01:07.2,01:07.7,"""Mhm"""
21.Pink.7,01:07.3,01:07.6,"""Yes"""
21.Orange.6,01:07.8,01:10.2,"""And then for number three I had the compass"""
21.Orange.7,01:10.6,01:13.0,"""This is uh see what area to go to"""
21.Pink.8,01:12.9,01:13.4,"""Mhm"""
21.Pink.9,01:14.1,01:18.0,"""Yeah and I had up there too um the the food that we have already"""
21.Blue.12,01:17.4,01:17.8,"""Yeah"""
21.Orange.8,01:17.9,01:18.3,"""Mhm"""
21.Pink.10,01:18.1,01:19.5,"""I had that up there too"""
21.Blue.13,01:20.9,01:24.9,"""So w what do you guys want to decide on for the first"""
21.Blue.14,01:25.2,01:29.6,"""I think we all have sort of like the general idea like of the same things"""
21.Orange.9,01:28.0,01:28.4,"""Yeah"""
21.Pink.11,01:28.2,01:28.7,"""Mhm"""
21.Blue.15,01:29.7,01:30.2,"""But"""
21.Pink.12,01:32.0,01:34.4,"""Um maybe we should work backwards then"""
21.Blue.16,01:32.0,01:32.7,"""So do you"""
21.Blue.17,01:34.6,01:35.1,"""Yeah"""
21.Pink.13,01:34.7,01:36.9,"""We all know whats at the top maybe we should work backwards"""
21.Blue.18,01:36.5,01:36.9,"""Yeah"""
