Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
25.Pink.1,00:00.2,00:04.3,00:04.1,,,,,"""Okay so what do you think we should rank first"""
25.Pink.2,00:04.5,00:08.4,00:03.9,,Proposal,Private,Compass,"""Um according to me it should be compass"""
25.Orange.1,00:08.4,00:09.2,00:00.8,,Agreement,,,"""Mhm"""
25.Pink.3,00:08.6,00:15.9,00:07.3,,,,,"""Cause if we know where we are we can easily you know go look for yeah uh rescue or something"""
25.Orange.2,00:09.9,00:11.3,00:01.4,,Agreement,,,"""Yeah it says """
25.Orange.3,00:11.9,00:12.7,00:00.8,,Agreement,,,"""Yeah"""
25.Orange.4,00:15.3,00:16.1,00:00.8,,,,,"""Mhm"""
25.Blue.1,00:16.4,00:18.6,00:02.2,,Disagreement,,,"""But its like eighty miles away"""
25.Blue.2,00:18.6,00:20.6,00:02.1,,Disagreement,,,"""So thatd take like a day to get there"""
25.Orange.5,00:20.4,00:21.1,00:00.7,,,,,"""Yeah"""
25.Blue.3,00:21.0,00:25.5,00:04.5,,Proposal,Private,Pistol,"""So I was thinking like a pistol cause theyre in like the middle of nowhere and there might be bears"""
25.Blue.4,00:25.5,00:27.2,00:01.6,Positive,,,,"""$"""
25.Orange.6,00:25.6,00:26.8,00:01.2,Positive,,,,"""$"""
25.Pink.4,00:26.1,00:28.0,00:01.9,,,,,"""Oh what of what"""
25.Blue.5,00:28.0,00:31.1,00:03.1,,,,,"""Cause youre eighty miles away from like the nearest habitation"""
25.Pink.5,00:30.6,00:31.5,00:00.9,,,,,"""Ahuh"""
25.Blue.6,00:31.1,00:33.3,00:02.2,,,,,"""That could take around a day to get there"""
25.Pink.6,00:33.3,00:36.0,00:02.7,,,,,"""Yeah but theyll still know that where to go"""
25.Blue.7,00:35.4,00:36.3,00:00.9,,,,,"""Oh yeah"""
25.Pink.7,00:36.0,00:38.4,00:02.4,,,,,"""Yeah cause uh uh what was your option"""
25.Orange.7,00:36.4,00:37.3,00:01.0,,,,,"""Yeah"""
25.Blue.8,00:38.7,00:39.9,00:01.2,,,Private,Pistol,"""I said the pistol"""
25.Orange.8,00:39.1,00:39.8,00:00.7,,,,Pistol,"""Gun"""
25.Blue.9,00:39.9,00:41.3,00:01.5,Positive,,,Pistol,"""Yeah the gun $"""
25.Pink.8,00:40.0,00:42.5,00:02.5,"Positive, Negative",,,Pistol,"""Okay if someone dont know how to shoot $"""
25.Blue.10,00:42.5,00:43.1,00:00.6,,,,,"""True yeah"""
25.Orange.9,00:42.5,00:44.0,00:01.5,,Disagreement,,Pistol,"""I agree that the guns important"""
25.Pink.9,00:42.5,00:44.1,00:01.5,,,,,"""Yeah so"""
25.Blue.11,00:43.7,00:45.8,00:02.1,,Agreement,,Compass,"""Yeah compass is most"""
25.Orange.10,00:44.0,00:46.5,00:02.5,,Disagreement,,Compass,"""But I think the compass is the most important"""
25.Pink.10,00:44.7,00:46.4,00:01.8,,Agreement,,,"""Yes yeah"""
25.Pink.11,00:46.8,00:49.9,00:03.1,,Confirmation,,Compass,"""So compass comes at like at rank first"""
25.Pink.12,00:50.5,00:51.8,00:01.3,,,,,"""And"""
25.Pink.13,00:52.6,00:54.4,00:01.8,,,,,"""What about second"""
25.Orange.11,00:57.5,00:59.1,00:01.5,,,Private,Knife,"""I said knife"""
25.Pink.14,00:59.1,01:02.5,00:03.4,,,Private,Rope,"""Um mine was a like rope"""
