Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
16.Yellow.1,00:01.8,00:03.8,00:02.0,,,,,"""Were we supposed to write them as a group"""
16.Blue.1,00:03.8,00:04.1,00:00.3,,,,,"""Yeah"""
16.Pink.1,00:04.0,00:04.4,00:00.4,,,,,"""Yeah"""
16.Blue.2,00:04.5,00:04.9,00:00.5,,,,,"""Yeah"""
16.Yellow.2,00:04.9,00:07.1,00:02.1,,,,,"""Okay what did you guys put for one I guess"""
16.Blue.3,00:08.5,00:10.6,00:02.1,,Proposal,Private,Shirt/Pants,"""I think the extra shirt and pants"""
16.Pink.2,00:10.8,00:11.8,00:01.1,,Agreement,Private,Shirt/Pants,"""Yeah I put that as well"""
16.Blue.4,00:11.9,00:16.6,00:04.7,"Positive, Negative",,,,"""Cause I figure its gonna be really cold $"""
16.Yellow.3,00:13.0,00:14.1,00:01.1,Negative,,,,"""Oh shoot"""
16.Yellow.4,00:14.2,00:15.3,00:01.1,Positive,,,,"""$"""
16.Yellow.5,00:15.7,00:16.4,00:00.7,,Agreement,,,"""Okay sure"""
16.Yellow.6,00:16.9,00:17.7,00:00.7,,,,,"""Two against one"""
16.Yellow.7,00:17.7,00:19.2,00:01.5,,,Private,Knife,"""I put a knife but like you know"""
16.Blue.5,00:19.5,00:20.2,00:00.7,Positive,,,,"""$"""
16.Yellow.8,00:20.4,00:22.0,00:01.6,,Confirmation,,Shirt/Pants,"""Okay wait extra shirt and pants"""
16.Yellow.9,00:22.6,00:23.0,00:00.4,,,,,"""Kay"""
16.Yellow.10,00:23.7,00:24.2,00:00.5,,,,,"""Thank you"""
16.Yellow.11,00:25.3,00:27.6,00:02.3,,,Private,Flashlight,"""Um I put a flashlight with batteries"""
16.Blue.6,00:30.2,00:31.2,00:01.0,,,Private,Compass,"""I did compass"""
16.Pink.3,00:31.5,00:32.6,00:01.0,,,Private,Compass,"""I did compass as """
16.Yellow.12,00:32.9,00:35.0,00:02.1,Positive,,,,"""Wow $"""
16.Pink.4,00:33.8,00:34.6,00:00.8,Positive,,,,"""$"""
16.Blue.7,00:33.9,00:37.1,00:03.2,Positive,,,,"""$"""
16.Yellow.13,00:35.1,00:36.5,00:01.4,,,,,"""Okay okay like how many"""
16.Yellow.14,00:36.7,00:38.1,00:01.4,,,,,"""Okay for three"""
16.Blue.8,00:38.5,00:43.2,00:04.7,,,,,"""I dont think any of us actually been in this situation before so"""
16.Yellow.15,00:40.6,00:43.2,00:02.6,Positive,,,,"""Yeah no I dont know $"""
16.Pink.5,00:43.7,00:45.5,00:01.8,,,Private,Flashlight,"""I just did flashlight for three yeah"""
16.Yellow.16,00:47.1,00:48.5,00:01.4,,,Private,Pistol,"""I put a pistol"""
16.Blue.9,00:51.5,00:53.6,00:02.2,,,Private,Whiskey,"""I put I put a quart of eighty proof whiskey"""
16.Yellow.17,00:53.8,00:55.4,00:01.6,Positive,,,,"""$"""
16.Blue.10,00:55.4,00:59.4,00:04.0,,,Private,Newspaper,"""But then for number four I put newspaper cause I figured you could use the two to make a fire"""
16.Yellow.18,00:59.7,01:01.4,00:01.7,,,,,"""Oh oh"""
16.Pink.6,01:00.8,01:01.3,00:00.4,,,,,"""Mhm"""
16.Yellow.19,01:01.8,01:03.1,00:01.3,,Proposal,,Newspaper,"""Okay should we do that for three"""
16.Yellow.20,01:03.5,01:04.3,00:00.8,,,,,"""Uh"""
16.Yellow.21,01:05.0,01:05.6,00:00.6,,,,,"""[unclear]"""
16.Blue.11,01:08.2,01:10.5,00:02.3,,,Private,Cigarette Lighter,"""Because theres a cigarette lighter but it has no fluid"""
16.Yellow.22,01:10.7,01:12.3,00:01.6,Negative,,,Cigarette Lighter,"""Yeah so its like completely useless"""
16.Blue.12,01:11.5,01:13.2,00:01.7,,,Private,Cigarette Lighter,"""So I ranked that as fifteen"""
16.Yellow.23,01:13.2,01:13.5,00:00.3,,,,,"""Yeah"""
16.Blue.13,01:13.3,01:17.0,00:03.7,"Positive, Negative",,,Cigarette Lighter,"""Thats like thats [unclear] useless $"""
16.Yellow.24,01:14.0,01:15.0,00:01.0,Negative,,,Cigarette Lighter,"""Useless"""
16.Yellow.25,01:16.0,01:18.9,00:02.9,Positive,,,,"""Okay so four should we should we do $"""
16.Blue.14,01:17.0,01:18.5,00:01.4,Negative,,,,"""That will do nothing"""
16.Blue.15,01:19.1,01:22.5,00:03.5,,,,Cigarette Lighter,"""Unless theres other uses for a empty lighter"""
16.Yellow.26,01:21.3,01:23.5,00:02.2,Positive,,,,"""Yeah like $"""
16.Blue.16,01:22.5,01:24.2,00:01.7,,,,,"""But I dont think so"""
16.Yellow.27,01:24.1,01:24.6,00:00.5,,,,,"""No"""
16.Yellow.28,01:24.9,01:26.9,00:02.0,,Confirmation,,Newspaper,"""Okay so then we have newspaper"""
16.Yellow.29,01:26.9,01:27.9,00:01.0,,,,,"""And then for five"""
16.Blue.17,01:31.3,01:32.2,00:00.9,,,,,"""[unclear]"""
16.Yellow.30,01:32.4,01:33.8,00:01.4,,,,,"""Yeah mines gone"""
16.Yellow.31,01:34.3,01:36.3,00:02.0,,,Private,Shirt/Pants,"""I did extra shirt and pants for five $"""
16.Yellow.32,01:36.5,01:38.3,00:01.8,Negative,,,,"""Apparently I dont care about people $"""
16.Blue.18,01:37.9,01:38.7,00:00.8,"Positive, Negative",,,,"""$"""
16.Blue.19,01:40.7,01:42.1,00:01.5,,,,Shirt/Pants,"""So we did shirts and pants"""
16.Blue.20,01:42.2,01:45.0,00:02.8,,,,"Compass, Newspaper, Shirt/Pants","""Shirt and pants compass and then newspaper"""
16.Yellow.33,01:45.9,01:46.3,00:00.4,,,,,"""Yeah"""
16.Yellow.34,01:48.0,01:48.9,00:00.9,,,,,"""So now were on five"""
16.Blue.21,01:51.5,01:55.4,00:03.9,Positive,,,,"""Now were warm ish"""
16.Yellow.35,01:55.5,01:56.1,00:00.7,,,,,"""Kinda"""
16.Blue.22,01:57.6,01:59.9,00:02.3,,,,Air Map,"""Does anyone know what a sectional air map is"""
16.Yellow.36,02:01.7,02:03.1,00:01.4,,,,Air Map,"""Sectional"""
16.Blue.23,02:03.2,02:04.2,00:01.0,Positive,,,,"""$"""
16.Yellow.37,02:03.6,02:04.5,00:00.9,Positive,,,,"""No $"""
16.Yellow.38,02:04.5,02:05.5,00:01.0,Positive,,,Air Map,"""$ I was like what"""
16.Pink.7,02:06.2,02:08.2,00:02.0,,,,Air Map,"""Its probably like a map of the region or something"""
16.Yellow.39,02:08.6,02:09.7,00:01.1,,,,Air Map,"""Just like a map"""
16.Blue.24,02:11.0,02:12.1,00:01.1,,,,,"""Oh maybe"""
16.Yellow.40,02:12.6,02:13.8,00:01.2,,,,Air Map,"""Will that be important to have"""
16.Yellow.41,02:13.9,02:14.8,00:00.9,,,,,"""I dont really """
16.Blue.25,02:16.3,02:17.2,00:00.9,,,,,"""Probably"""
16.Yellow.42,02:18.0,02:18.7,00:00.7,,,,,"""For five"""
16.Blue.26,02:19.8,02:23.2,00:03.4,,,,Air Map,"""Uh so I next thought was like shelter"""
16.Yellow.43,02:23.6,02:23.9,00:00.4,,,,,"""Mhm"""
16.Blue.27,02:23.9,02:29.1,00:05.2,,,,,"""Cause theres yeah it says the plane has been completely destroyed except for the frame"""
16.Blue.28,02:30.7,02:34.3,00:03.6,,Proposal,Private,Rope,"""So yeah my five was rope"""
16.Yellow.44,02:34.8,02:36.0,00:01.2,,Agreement,,Rope,"""Rope yeah"""
16.Blue.29,02:35.5,02:35.9,00:00.4,,,,,"""Yeah"""
16.Yellow.45,02:36.7,02:37.4,00:00.7,,Agreement,,,"""That makes sense"""
16.Yellow.46,02:37.4,02:38.2,00:00.8,,,,,"""Does your makes sense"""
16.Pink.8,02:38.2,02:38.6,00:00.4,,Agreement,,,"""Yeah"""
16.Yellow.47,02:38.6,02:38.9,00:00.3,,,,,"""Yeah"""
16.Yellow.48,02:40.0,02:40.7,00:00.7,,Confirmation,,,"""Five"""
16.Yellow.49,02:41.3,02:41.8,00:00.5,,,,,"""Okay"""
16.Yellow.50,02:42.9,02:43.4,00:00.5,,,,,"""Six"""
16.Pink.9,02:45.6,02:48.3,00:02.7,,Proposal,,Chocolate Bar,"""The chocolate bars probably important right for like energy"""
16.Yellow.51,02:48.3,02:49.9,00:01.6,,Agreement,Private,Chocolate Bar,"""Yeah I did that f too"""
16.Blue.30,02:51.0,02:52.5,00:01.5,,Agreement,,,"""Well do six"""
16.Yellow.52,02:52.8,02:53.5,00:00.6,,,,,"""Seven"""
16.Yellow.53,02:55.0,02:56.6,00:01.6,,,,Compress Kit,"""I dont know what a compress kit is"""
16.Blue.31,02:58.1,02:59.2,00:01.1,,,,,"""Probably for like injuries"""
16.Yellow.54,02:59.6,03:02.5,00:02.9,,,,Compress Kit,"""Is that like fabric or something"""
16.Pink.10,03:03.5,03:04.4,00:00.9,,,,Compress Kit,"""Which one is it"""
16.Blue.32,03:04.4,03:05.5,00:01.1,,,,Compress Kit,"""The compress kit"""
16.Yellow.55,03:04.7,03:06.7,00:02.0,,,,Compress Kit,"""Compress compress kit"""
16.Yellow.56,03:07.2,03:09.0,00:01.8,Negative,,,,"""Yeah Im so confused just like what"""
16.Yellow.57,03:09.9,03:10.6,00:00.7,Negative,,,,"""Oh no"""
16.Yellow.58,03:11.2,03:11.7,00:00.5,,,,,"""Okay"""
16.Blue.33,03:12.0,03:14.2,00:02.2,,,,,"""Since no one else is seriously injured"""
16.Yellow.59,03:15.4,03:16.9,00:01.5,,,,,"""Its not too im """
16.Blue.34,03:16.8,03:20.6,00:03.8,Negative,,,,"""What if people get injured"""
16.Yellow.60,03:21.7,03:22.2,00:00.5,,,,,"""Mhm"""
16.Pink.11,03:24.3,03:25.9,00:01.6,,Proposal,,Pistol,"""Did we put the loaded pistol yet"""
16.Yellow.61,03:26.1,03:26.7,00:00.6,,,,,"""Uh uh"""
16.Pink.12,03:27.5,03:29.4,00:01.9,,,,,"""Cause its in the wilderness right"""
16.Blue.35,03:29.5,03:29.9,00:00.5,,,,,"""Mhm"""
16.Pink.13,03:30.4,03:32.5,00:02.0,,,,Pistol,"""But I dont know if thats should be next"""
16.Yellow.62,03:33.3,03:34.6,00:01.3,,"Proposal, Disagreement",,"Chocolate Bar, Pistol","""After the chocolate bar"""
16.Pink.14,03:35.3,03:37.3,00:01.9,Positive,Agreement,,"Chocolate Bar, Pistol","""$ chocolate bar and then the pistol"""
16.Yellow.63,03:35.7,03:37.3,00:01.6,Positive,,,,"""$"""
16.Blue.36,03:37.2,03:38.7,00:01.5,,Proposal,,"Knife, Rope","""Or you have the knife to cut the rope"""
16.Yellow.64,03:39.2,03:41.5,00:02.3,,Agreement,,,"""Yeah that makes sense yeah"""
16.Yellow.65,03:42.3,03:44.0,00:01.7,,Confirmation,,,"""Um seventh"""
16.Yellow.66,03:44.8,03:45.2,00:00.4,,,,,"""Okay"""
16.Blue.37,03:45.3,03:47.0,00:01.7,,,,Chocolate Bar,"""We got a chocolate bar"""
16.Yellow.67,03:45.4,03:46.3,00:00.9,,,,,"""After that"""
16.Blue.38,03:47.0,03:49.7,00:02.8,Negative,,,Shortening,"""We got a can of shortening which is gross but you can eat it"""
16.Yellow.68,03:49.5,03:51.2,00:01.7,Positive,,,,"""$"""
16.Blue.39,03:51.3,03:56.8,00:05.5,,,,Pistol,"""Like I think the gun is if youve been there like an extended period of time and you need to like start hunting"""
16.Yellow.69,03:55.3,03:55.7,00:00.4,,,,,"""Yeah"""
16.Yellow.70,03:59.7,04:01.6,00:01.9,,,,Knife,"""So after the knife um"""
16.Blue.40,04:02.1,04:03.3,00:01.2,,Proposal,,Flashlight,"""Did we put flashlight on there"""
16.Blue.41,04:03.3,04:03.7,00:00.4,,,,,"""Yeah"""
16.Yellow.71,04:06.6,04:07.0,00:00.4,,,,,"""No"""
