Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
15.Orange.1,00:01.9,00:04.4,00:02.5,,,,,"""O-okay so, number one and why."""
15.Purple.1,00:04.5,00:05.7,00:01.2,,,Private,Compass,"""I put compass."""
15.Purple.2,00:05.7,00:10.4,00:04.6,Positive,,,Compass,"""Um, I don't even know why I chose it, I just thought it would be useful, to be honest $ like."""
15.Orange.2,00:09.2,00:11.1,00:01.9,Positive,,,,"""$"""
15.Purple.3,00:10.4,00:11.1,00:00.7,,,,,"""I don't know."""
15.Purple.4,00:11.1,00:17.0,00:05.9,,,,Compass,"""I thought about like where you are and like basic survival and I figure that compass would be helpful."""
15.Purple.5,00:17.0,00:17.8,00:00.8,,,,,"""I don't know."""
15.Yellow.1,00:18.5,00:19.0,00:00.6,,,,,"""Okay."""
15.Purple.6,00:19.1,00:19.8,00:00.7,,,,,"""What did you have?"""
15.Yellow.2,00:19.8,00:29.7,00:09.9,,,Private,Knife,"""Uh, I picked the-the knife as my number one for the fact that you can have as long purposes for it and, uh, cutting, shaving stuff, more stuff like that."""
15.Purple.7,00:22.3,00:22.8,00:00.5,,,,,"""Okay."""
15.Purple.8,00:24.7,00:25.2,00:00.5,,,,,"""Yeah."""
15.Purple.9,00:29.0,00:29.4,00:00.4,,,,,"""Yeah."""
15.Yellow.3,00:29.7,00:38.9,00:09.2,,,,Compass,"""Um, but like the compass is useful cause it says like the eighty kilometers nor-northwest whatever being used other things for landmarks to find directions."""
15.Purple.10,00:34.2,00:36.2,00:02.0,,,,,"""Yeah, exactly, that's what I was thinking."""
15.Purple.11,00:38.2,00:38.8,00:00.6,,,,,"""Yeah."""
15.Yellow.4,00:38.9,00:49.3,00:10.4,,,,Knife,"""So and I think if you if you did know the town like the knife could help you survive the longest because [unclear]."""
15.Purple.12,00:43.5,00:44.0,00:00.5,,,,,"""Yeah."""
15.Purple.13,00:47.1,00:47.5,00:00.4,,,,,"""Yeah."""
15.Purple.14,00:47.8,00:48.4,00:00.6,,,,,"""Yeah."""
15.Purple.15,00:48.7,00:49.3,00:00.6,,,,,"""What did you have?"""
15.Purple.16,00:49.9,00:50.6,00:00.7,,,,,"""[unclear]"""
15.Blue.1,00:50.6,00:53.2,00:02.6,,,,,"""Oh sorry, I was actually going to ask everyone a question."""
15.Blue.2,00:53.2,00:58.5,00:05.3,,,,,"""And just say does anyone have any like camping or like general survival skills?"""
15.Blue.3,00:58.5,00:58.8,00:00.3,,,,,"""Okay."""
15.Blue.4,00:58.8,01:06.6,00:07.7,,,,Shirt/Pants,"""Cause like for me, um I-I've been to anatomy and physiology and that kind of stuff so I actually picked clothing for everyone."""
15.Blue.5,01:07.0,01:10.6,00:03.6,,,,,"""Cause in my opinion is you're going to get less hungry if you're not freezing."""
15.Blue.6,01:10.6,01:13.4,00:02.8,,,,,"""Cause you're warm enough, so you're not shivering and burning c-calories."""
15.Blue.7,01:13.4,01:14.4,00:01.1,,,,,"""Like you don't need to."""
15.Blue.8,01:14.4,01:16.4,00:01.9,,,,,"""You can delayer if you're too hot."""
15.Blue.9,01:16.4,01:17.5,00:01.2,,,,,"""Um, so."""
15.Yellow.5,01:16.5,01:19.5,00:03.0,,,,,"""It said you are dressed in winter clothing as well."""
15.Blue.10,01:19.7,01:23.8,00:04.1,"Positive, Negative",,,,"""Right but negative twenty-five degrees is very cold $."""
15.Purple.17,01:21.7,01:22.3,00:00.6,,,,,"""Yeah."""
15.Yellow.6,01:22.3,01:23.5,00:01.2,,,,,"""Fair enough, yeah."""
15.Purple.18,01:22.9,01:24.3,00:01.4,,,,,"""Yeah, yeah."""
15.Orange.3,01:23.7,01:26.4,00:02.7,,,,,"""It's in Manitoba, pretty cliché."""
15.Blue.11,01:23.8,01:24.5,00:00.7,,,,,"""I don't know."""
