Participant,Start,End,Duration,Sentiment ,Decision ,Sentence
1.Pink.1,00:02.0,00:03.5,00:01.5,,,"""So, what did everyone do as one?"""
1.Blue.1,00:04.0,00:05.7,00:01.7,,,"""I did, uh, cigarette lighter."""
1.Blue.2,00:06.4,00:07.2,00:00.7,,,"""For one."""
1.Pink.2,00:07.3,00:09.3,00:02.1,,,"""Mm okay, I did knife."""
1.Green.1,00:09.4,00:09.9,00:00.6,,,"""Knife."""
1.Blue.3,00:09.8,00:11.2,00:01.4,,Proposal,"""Okay, we'll do knife then."""
1.Blue.4,00:11.2,00:12.0,00:00.8,Positive,,"""$"""
1.Pink.3,00:11.3,00:12.7,00:01.4,Positive,,"""$"""
1.Pink.4,00:12.7,00:19.0,00:06.3,,,"""Well I think it -- that and-and, um, the cigarette lighter are all pretty important."""
1.Blue.5,00:14.4,00:15.6,00:01.2,,,"""Yeah-yeah makes sense."""
1.Blue.6,00:19.1,00:19.7,00:00.6,,,"""Mhm."""
1.Pink.5,00:19.7,00:21.6,00:01.8,,Proposal,"""So, I would say cigarette lighter is two."""
1.Pink.6,00:21.6,00:24.2,00:02.7,,,"""I didn't write that down but I kinda made a connection afterwards."""
1.Blue.7,00:23.9,00:25.0,00:01.0,Positive,Agreement,"""$ Yeah okay."""
1.Pink.7,00:24.3,00:25.4,00:01.2,Positive,,"""$"""
1.Green.2,00:25.5,00:26.9,00:01.4,,,"""I did two as compass."""
1.Blue.8,00:27.0,00:28.0,00:01.0,,,"""Compass."""
1.Pink.8,00:27.4,00:29.2,00:01.8,,,"""Mhm that's what I did initially."""
1.Blue.9,00:29.5,00:30.9,00:01.4,,,"""I did that as like nine."""
1.Blue.10,00:30.9,00:31.3,00:00.5,Positive,,"""$"""
1.Green.3,00:31.4,00:34.7,00:03.4,,,"""Because there's no point in being able to start a fire if you can't get out right."""
1.Pink.9,00:34.6,00:36.1,00:01.5,,,"""Well there's --"""
1.Blue.11,00:35.4,00:37.8,00:02.4,,,"""Yeah, but I was just thinking more of --"""
1.Pink.10,00:37.0,00:38.5,00:01.5,,,"""Short term?"""
1.Blue.12,00:38.3,00:41.1,00:02.8,,,"""Yeah, just kinda like to keep you warm."""
1.Blue.13,00:41.1,00:44.7,00:03.6,,,"""Or if anyone like sees you, you know, helicopters like flying over."""
1.Green.4,00:44.4,00:45.5,00:01.1,Negative,,"""You won't see that."""
1.Blue.14,00:44.9,00:45.9,00:01.0,Positive,,"""$"""
1.Blue.15,00:46.0,00:47.3,00:01.3,,,"""Well maybe."""
1.Pink.11,00:47.3,00:48.1,00:00.8,,,"""Yeah that's what I was thinking."""
1.Pink.12,00:48.1,00:49.5,00:01.4,,,""" I was like you could start a really big fire."""
1.Pink.13,00:49.5,00:50.4,00:00.8,Positive,,"""$"""
1.Blue.16,00:50.2,00:51.7,00:01.6,,,"""Yeah that's all I was thinking about."""
1.Blue.17,00:51.7,00:52.3,00:00.6,,,"""Um."""
1.Green.5,00:52.5,00:58.0,00:05.5,Negative,,"""Mm... mm... coming back from my military training, yeah no."""
1.Green.6,00:58.0,00:59.0,00:01.0,Positive & Negative,,"""$"""
1.Pink.14,00:58.8,01:00.0,00:01.3,,,"""Mhm."""
