Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
10.Orange.1,00:02.3,00:03.6,00:01.3,,,,,"""All right."""
10.Pink.1,00:03.8,00:06.5,00:02.7,,,Private,Cigarette Lighter,"""Uh, I found the most important thing to be the cigarette lighter."""
10.Orange.2,00:06.5,00:08.9,00:02.4,,,,,"""Mhm, something to make a fire first."""
10.Pink.2,00:08.7,00:09.5,00:00.8,,,,,"""Yeah exactly."""
10.Pink.3,00:09.7,00:10.4,00:00.6,,,,,"""Um."""
10.Orange.3,00:11.3,00:14.2,00:02.9,,,Private,Cigarette Lighter,"""I-I did -- that was my number one as well."""
10.Pink.4,00:12.5,00:13.6,00:01.1,,Proposal,,,"""Yeah number one."""
10.Pink.5,00:13.8,00:14.6,00:00.8,,,,,"""Okay."""
10.Orange.4,00:14.4,00:17.2,00:02.8,,,,,"""And then I was trying to think of like anything that would help you make a fire."""
10.Orange.5,00:17.2,00:18.7,00:01.5,,,Private,Newspaper,"""So like newspaper."""
10.Pink.6,00:19.1,00:19.8,00:00.7,,,,,"""Yeah."""
10.Pink.7,00:19.8,00:23.2,00:03.5,,,Private,Ski Poles,"""Uh, my, uh, well, number two is the ski poles actually."""
10.Orange.6,00:23.2,00:24.0,00:00.8,,,,,"""Okay."""
10.Pink.8,00:23.2,00:28.1,00:04.8,,,,Ski Poles,"""To a -- cause you can develop like tenting and all that and stick them into the ground."""
10.Orange.7,00:27.9,00:28.7,00:00.8,,,,,"""Okay."""
10.Orange.8,00:29.1,00:30.2,00:01.1,,,,,"""This is true."""
10.Pink.9,00:29.2,00:39.2,00:10.0,,,,"Rope, Ski Poles","""And I think with it, on top of that, if you ever tried to fashion some sort of backpack out of rope and other things, you could find the ski poles would help the person carrying the weight."""
10.Orange.9,00:38.6,00:39.9,00:01.2,,,,,"""That is true, yeah."""
10.Orange.10,00:39.9,00:45.0,00:05.1,,,,,"""I think that we -- like we need help making a fire first."""
10.Pink.10,00:45.0,00:45.8,00:00.7,,,,,"""Okay."""
10.Orange.11,00:45.8,00:46.7,00:00.9,,,,,"""Do you think?"""
10.Orange.12,00:46.7,00:50.3,00:03.6,Negative,,,,"""Cause it's so cold and we're all going to freeze to death before anything happens I think."""
10.Pink.11,00:51.0,00:51.4,00:00.5,,,,,"""Fair enough."""
10.Pink.12,00:51.4,00:53.2,00:01.8,,Proposal,,Newspaper,"""Then yeah number two I definitely."""
10.Orange.13,00:51.7,00:53.5,00:01.9,,,,,"""Do you think so?"""
10.Orange.14,00:54.0,00:54.6,00:00.6,,Agreement,,,"""Okay."""
10.Pink.13,00:54.3,00:55.3,00:01.0,,Proposal,,Newspaper,"""Newspaper then."""
10.Orange.15,00:55.2,00:57.3,00:02.1,,,,Ski Poles,"""But I think you're right about the ski poles."""
10.Pink.14,00:58.9,01:02.5,00:03.6,,,,,"""And then for, uh, I mean the number three what do you want to put?"""
10.Pink.15,01:02.5,01:03.1,00:00.6,,Proposal,,Ski Poles,"""Ski poles?"""
10.Orange.16,01:03.2,01:04.4,00:01.2,,Agreement,,,"""Yeah sure."""
10.Pink.16,01:04.0,01:04.7,00:00.7,,,,,"""Okay."""
10.Pink.17,01:07.6,01:11.3,00:03.6,,,,,"""Uh, hm, what did I have for number four?"""
10.Pink.18,01:11.3,01:14.2,00:02.9,,Proposal,Private,Shirt/Pants,"""Uh, the extra shirts and pants for ev-all the survivors."""
10.Pink.19,01:15.1,01:17.7,00:02.6,,,,,"""For, uh, keeping warm and stuff like that."""
10.Orange.17,01:16.7,01:18.0,00:01.3,,Agreement,,,"""Yeah-yeah keeping warm."""
10.Orange.18,01:18.0,01:18.9,00:00.9,,Agreement,,,"""I agree."""
10.Pink.20,01:19.1,01:20.1,00:01.0,,,,,"""Okay."""
10.Orange.19,01:22.7,01:23.3,00:00.7,,,,,"""Hm."""
10.Pink.21,01:22.7,01:25.5,00:02.8,,,Private,Knife,"""Uh, I had number five as the knife."""
