Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
28.Blue.1,00:00.0,00:05.0,00:05.0,,,,,"""So, I guess it makes more sense if, I don't know, if we [unclear] with the least important things."""
28.Orange.1,00:06.1,00:07.5,00:01.4,,,,,"""Get them out of the way?"""
28.Pink.1,00:06.4,00:08.1,00:01.7,,,,,"""Yeah."""
28.Blue.2,00:07.0,00:07.6,00:00.6,,,,,"""Yeah."""
28.Orange.2,00:08.0,00:08.6,00:00.6,,,,,"""Sure."""
28.Blue.3,00:08.0,00:10.9,00:02.9,,,Private,Chocolate Bar,"""So, my fifteen was the chocolate bar."""
28.Blue.4,00:10.9,00:11.8,00:00.9,,,,,"""Uh, yeah."""
28.Pink.2,00:11.8,00:13.7,00:01.9,Positive,,,Chocolate Bar,"""I agree with that one $."""
28.Orange.3,00:13.7,00:14.3,00:00.6,,,,,"""Really?"""
28.Orange.4,00:14.3,00:17.0,00:02.7,,,Private,Steel Wool,"""My fifteen was a ball of steel wool."""
28.Blue.5,00:17.1,00:19.2,00:02.1,,,,Steel Wool,"""But I feel like you can use that to like start fires."""
28.Orange.5,00:19.8,00:22.1,00:02.3,,,,,"""You can use almost anything to start fires."""
28.Blue.6,00:21.3,00:22.2,00:00.9,,,,,"""Okay like true."""
28.Blue.7,00:22.2,00:26.5,00:04.3,,,,Steel Wool,"""But like I feel like that one, I feel like I would like, I don't know."""
28.Orange.6,00:22.6,00:25.0,00:02.4,,,,,"""Like rocks, two rocks."""
28.Orange.7,00:26.6,00:27.4,00:00.8,,,,,"""Okay."""
28.Orange.8,00:27.4,00:28.9,00:01.5,,,,,"""Yeah, no, that makes sense."""
28.Blue.8,00:28.7,00:30.0,00:01.3,,,,,"""Yeah, okay."""
28.Orange.9,00:29.5,00:30.0,00:00.5,,,,,"""Yeah."""
28.Pink.3,00:30.0,00:32.7,00:02.7,,,Private,Steel Wool,"""I put that ball of steel as fourteen."""
