Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
24.Blue.1,00:01.5,00:02.2,00:00.7,Positive,,,,"""Sweet"""
24.Orange.1,00:02.2,00:03.3,00:01.1,Positive,,,,"""$"""
24.Blue.2,00:02.2,00:04.7,00:02.5,Positive,,,,"""$ I guess we are ranking"""
24.Pink.1,00:02.3,00:04.2,00:01.9,Positive,,,,"""$"""
24.Orange.2,00:03.3,00:04.0,00:00.7,,,,,"""Um"""
24.Orange.3,00:05.0,00:06.2,00:01.2,,,,,"""Okay so"""
24.Orange.4,00:06.6,00:07.3,00:00.7,,,,,"""I dont know"""
24.Orange.5,00:07.3,00:09.7,00:02.4,,,Private,Knife,"""I the first thing I put is is a knife"""
24.Blue.3,00:09.8,00:10.6,00:00.8,,,,,"""Okay"""
24.Orange.6,00:10.7,00:12.8,00:02.1,,,,,"""But I dont know if what you guys got"""
24.Blue.4,00:12.8,00:13.5,00:00.7,,,,,"""Yeah"""
24.Pink.2,00:13.7,00:16.7,00:02.9,,,Private,Cigarette Lighter,"""I put down cigarette lighter without the fluid"""
24.Blue.5,00:16.7,00:18.2,00:01.5,,,Private,Cigarette Lighter,"""Yeah thats what I put too"""
24.Pink.3,00:18.0,00:19.1,00:01.1,,,,,"""[unclear]"""
24.Orange.7,00:18.2,00:20.6,00:02.4,,,,,"""Okay see I didnt even have time to read this"""
24.Orange.8,00:20.6,00:22.3,00:01.7,Positive,,,,"""I just kind of did it as quick as I could $"""
24.Blue.6,00:20.8,00:21.8,00:01.0,Negative,,,,"""Oh shoot"""
24.Pink.4,00:22.0,00:23.3,00:01.4,Positive,,,,"""$"""
24.Blue.7,00:22.1,00:23.2,00:01.1,,,,,"""Yeah yeah"""
24.Orange.9,00:22.3,00:24.1,00:01.8,Positive,,,,"""So dont really listen to me"""
24.Orange.10,00:24.1,00:25.9,00:01.9,,,,,"""But Ill listen to you guys"""
24.Blue.8,00:24.3,00:25.4,00:01.0,,,,,"""Yeah"""
24.Pink.5,00:25.2,00:26.3,00:01.1,,,,,"""No no"""
24.Blue.9,00:25.6,00:30.8,00:05.2,,,,,"""I think in in survival situations like like warmth is like really important"""
24.Pink.6,00:30.6,00:32.1,00:01.5,Negative,,,,"""People freeze to death"""
24.Blue.10,00:30.8,00:32.7,00:01.9,,,,,"""Like its minus its minus twenty five"""
24.Blue.11,00:32.7,00:36.5,00:03.8,Positive,,,,"""So its like kay if you can somehow start a fire that would be awesome"""
24.Orange.11,00:33.4,00:34.1,00:00.8,,,,,"""Thats true"""
24.Orange.12,00:35.5,00:36.4,00:00.9,,,,,"""Thats true"""
24.Blue.12,00:36.5,00:37.9,00:01.4,,,,Cigarette Lighter,"""I mean it sucks theres no fluid but"""
24.Orange.13,00:37.9,00:39.2,00:01.2,,,,,"""It also """
24.Pink.7,00:38.4,00:39.4,00:01.1,,,,,"""There is food"""
24.Blue.13,00:39.4,00:40.9,00:01.5,,,,Cigarette Lighter,"""No sorry fluid for """
24.Pink.8,00:40.3,00:41.0,00:00.7,,,,,"""Oh fluid"""
24.Pink.9,00:41.0,00:42.1,00:01.1,,,,,"""I thought you said theres no food"""
24.Blue.14,00:42.0,00:44.5,00:02.5,,,,Chocolate Bar,"""Yeah theres theres chocolate"""
24.Pink.10,00:42.1,00:43.9,00:01.8,,,,,"""Im like you cant no you need some"""
24.Orange.14,00:43.0,00:44.2,00:01.2,Positive,,,,"""$"""
24.Pink.11,00:43.9,00:44.8,00:00.9,,,,,"""Its important"""
24.Orange.15,00:44.2,00:46.0,00:01.7,,,,,"""I also um """
24.Orange.16,00:46.0,00:49.5,00:03.5,,,,Whiskey,"""But yeah that also makes sense too with like the whiskey"""
24.Blue.15,00:49.5,00:50.7,00:01.2,,,,,"""Mhm"""
24.Orange.17,00:49.7,00:53.6,00:04.0,,,,Whiskey,"""Because then it like its flammable so like if you want to call for help"""
24.Blue.16,00:51.7,00:52.2,00:00.5,,,,,"""Yeah"""
24.Orange.18,00:53.6,00:55.0,00:01.3,,,,,"""If that works"""
24.Blue.17,00:54.0,00:54.8,00:00.8,,,,,"""Yeah"""
24.Orange.19,00:55.0,00:55.6,00:00.7,,,,,"""I dont know"""
24.Orange.20,00:55.6,00:58.4,00:02.8,,Proposal,,Cigarette Lighter,"""Im just gonna write down cigarette lighter as one"""
24.Blue.18,00:57.7,00:59.4,00:01.7,,Agreement,,,"""Yeah yeah totally"""
24.Blue.19,01:00.0,01:00.6,00:00.6,,,,,"""I dont know"""
24.Blue.20,01:00.6,01:02.1,00:01.5,,,,,"""Whatd you guys get for number two"""
24.Pink.12,01:05.5,01:06.9,00:01.4,,,,,"""I only got number one"""
24.Blue.21,01:06.8,01:07.7,00:00.9,Positive,,,,"""$"""
24.Pink.13,01:06.9,01:08.1,00:01.3,Positive,,,,"""$"""
24.Orange.21,01:06.9,01:07.8,00:00.9,Positive,,,,"""$"""
24.Orange.22,01:08.0,01:09.2,00:01.2,,,,,"""Um number two"""
24.Orange.23,01:09.2,01:10.2,00:01.0,,,,,"""What did you get"""
24.Blue.22,01:10.2,01:12.1,00:01.8,,,Private,Flashlight,"""I put down flashlight with batteries"""
24.Blue.23,01:12.1,01:16.6,00:04.5,,,,,"""Cause like if all goes wrong and you have to work in the night then you can see what youre doing"""
24.Orange.24,01:16.7,01:18.2,00:01.5,,,,,"""Thats also true"""
24.Orange.25,01:18.4,01:19.7,00:01.3,,,,,"""I would say """
24.Orange.26,01:19.7,01:23.4,00:03.7,,,,,"""Yeah it all depends on like how long you have too"""
24.Blue.24,01:23.4,01:23.9,00:00.6,,,,,"""Mhm"""
24.Orange.27,01:23.4,01:27.8,00:04.4,Negative,,,,"""Cause if youre like if this is like a couple days later youre probably like starving"""
24.Orange.28,01:27.8,01:30.2,00:02.4,,,,Chocolate Bar,"""But then again like a chocolate bar i isnt """
24.Blue.25,01:27.9,01:28.5,00:00.7,,,,,"""Mhm"""
24.Orange.29,01:30.5,01:32.9,00:02.4,,Proposal,,Flashlight,"""Yeah okay flashlight lets put that down"""
24.Blue.26,01:32.9,01:33.4,00:00.5,,Agreement,,,"""Yep"""
24.Pink.14,01:38.8,01:40.1,00:01.3,Negative,,,,"""Nights scary"""
24.Blue.27,01:40.3,01:41.5,00:01.2,,,,,"""Yeah"""
24.Pink.15,01:40.8,01:42.0,00:01.2,Negative,,,,"""Dark can be scary"""
24.Blue.28,01:41.5,01:42.6,00:01.1,,,,,"""Yeah totally"""
24.Pink.16,01:42.0,01:43.3,00:01.3,Negative,,,,"""Youre in the wilderness"""
24.Orange.30,01:43.1,01:43.8,00:00.6,,,,,"""Yes"""
24.Pink.17,01:43.4,01:44.6,00:01.1,Negative,,,,"""You dont know what can happen"""
24.Blue.29,01:43.8,01:47.3,00:03.5,"Positive, Negative",,,,"""Its like all your stuff is useless if you cant see anything $"""
24.Pink.18,01:45.7,01:47.2,00:01.5,"Positive, Negative",,,,"""$"""
24.Orange.31,01:47.2,01:47.9,00:00.7,,,,,"""Um"""
24.Orange.32,01:48.3,01:49.9,00:01.6,,,,,"""Number three"""
24.Orange.33,01:50.7,01:53.9,00:03.2,,Proposal,,Compress Kit,"""Could it be like um a compress kit"""
24.Blue.30,01:54.1,01:54.8,00:00.7,,,,,"""Hm"""
24.Orange.34,01:54.4,01:56.3,00:01.9,,,,,"""In case you get like hurt or something"""
24.Blue.31,01:56.0,01:56.6,00:00.6,,,,,"""Yeah"""
24.Orange.35,01:56.3,01:57.6,00:01.3,,,,Compress Kit,"""Or is that really like not that important"""
24.Orange.36,01:57.6,02:05.3,00:07.7,,,,Compress Kit,"""I mean it is important because if uh youre in the wilderness then youre just kind of like ah something can bite me and then you have """
24.Blue.32,02:02.3,02:03.0,00:00.7,,,,,"""Mhm"""
24.Blue.33,02:04.5,02:05.0,00:00.6,,,,,"""Yep"""
24.Orange.37,02:05.6,02:06.4,00:00.8,,,,,"""I dont know"""
24.Blue.34,02:06.2,02:08.9,00:02.7,,Disagreement,,,"""I think uh and it says no one was seriously injured"""
24.Blue.35,02:09.0,02:10.2,00:01.2,,Disagreement,,,"""So I put it """
24.Blue.36,02:10.2,02:11.1,00:00.9,,Disagreement,,,"""I think its important"""
24.Blue.37,02:11.1,02:12.3,00:01.1,,Disagreement,,,"""But I put it kind of later"""
24.Orange.38,02:12.3,02:13.5,00:01.2,,,,,"""Okay okay yeah"""
24.Blue.38,02:12.8,02:14.3,00:01.5,,,,,"""Just in case something were to happen"""
24.Pink.19,02:13.5,02:15.3,00:01.8,,Proposal,,,"""What about food $"""
24.Blue.39,02:15.4,02:16.1,00:00.7,,,,,"""Yeah"""
24.Pink.20,02:16.1,02:17.5,00:01.4,,,,,"""Foods pretty """
