Participant,Start,End,Decision 
19.Orange.7,00:57.7,01:13.2,Proposal
19.Blue.9,01:12.0,01:12.8,Agreement
19.Pink.8,01:16.8,01:17.3,Agreement
19.Pink.10,01:20.5,01:23.0,Proposal
19.Blue.10,01:23.0,01:25.1,Proposal
19.Orange.9,01:25.3,01:26.2,Agreement
19.Pink.12,01:31.1,01:35.3,Proposal & Disagreement
19.Pink.13,01:36.8,01:39.2,Proposal
19.Orange.12,01:39.5,01:43.5,Proposal
19.Blue.12,01:43.3,01:44.1,Agreement
19.Pink.14,01:43.8,01:44.4,Agreement
19.Pink.17,02:02.1,02:05.1,Confirmation
19.Blue.15,02:05.4,02:06.9,Confirmation
19.Pink.18,02:07.3,02:09.3,Confirmation
19.Pink.19,02:11.1,02:14.5,Proposal
19.Blue.16,02:14.7,02:16.0,Agreement
19.Blue.18,02:17.5,02:20.1,Agreement
19.Orange.15,02:17.5,02:17.9,Agreement
19.Orange.16,02:18.3,02:18.8,Agreement
19.Pink.23,02:20.0,02:25.7,Proposal
19.Blue.19,02:22.5,02:23.1,Agreement
19.Blue.20,02:24.6,02:25.1,Agreement
19.Pink.24,02:28.0,02:32.3,Proposal
19.Orange.17,02:30.9,02:31.4,Agreement
19.Blue.23,02:32.4,02:35.9,Agreement
19.Blue.24,02:36.8,02:39.2,Proposal
19.Pink.26,02:39.2,02:43.7,Proposal & Disagreement
19.Orange.19,02:43.8,02:50.6,Agreement
19.Pink.28,02:50.8,02:52.4,Agreement
19.Blue.26,02:52.8,02:53.1,Agreement
19.Pink.29,02:53.1,02:53.4,Agreement
19.Blue.27,02:56.2,03:01.6,Proposal
19.Pink.32,03:04.4,03:04.9,Agreement
19.Blue.30,03:07.1,03:12.9,Proposal
19.Orange.23,03:13.1,03:13.5,Agreement
19.Pink.34,03:13.7,03:14.2,Agreement
19.Pink.36,03:32.6,03:34.4,Proposal
19.Blue.35,03:34.4,03:35.5,Agreement
19.Orange.28,03:35.7,03:36.1,Agreement
19.Blue.36,03:36.4,03:38.6,Proposal
19.Pink.40,04:06.5,04:07.1,Agreement
19.Pink.41,04:08.9,04:12.8,Proposal
19.Orange.29,04:12.8,04:13.8,Agreement
19.Blue.45,04:13.0,04:13.3,Agreement
19.Orange.30,04:13.8,04:18.8,Proposal
19.Pink.42,04:17.9,04:18.3,Agreement
19.Pink.43,04:19.4,04:22.3,Confirmation
19.Pink.49,04:56.7,04:58.9,Proposal
19.Pink.50,04:58.9,05:02.1,Proposal
19.Blue.50,05:00.7,05:01.2,Agreement
19.Orange.38,05:02.1,05:02.5,Agreement
19.Pink.52,05:05.8,05:09.3,Confirmation
19.Pink.53,05:09.6,05:11.0,Confirmation
19.Pink.54,05:11.6,05:14.7,Confirmation
19.Pink.55,05:15.5,05:18.2,Confirmation
19.Pink.56,05:18.8,05:20.8,Confirmation
19.Pink.57,05:21.0,05:23.0,Confirmation
19.Pink.58,05:23.7,05:25.4,Confirmation
19.Pink.59,05:25.9,05:28.5,Confirmation
19.Pink.60,05:29.0,05:30.9,Confirmation
19.Pink.61,05:31.5,05:32.6,Confirmation
19.Pink.62,05:33.1,05:34.5,Confirmation
19.Pink.63,05:34.9,05:36.0,Confirmation
19.Orange.43,06:24.7,06:27.5,Proposal
19.Blue.56,06:28.4,06:28.9,Agreement
19.Pink.78,06:28.6,06:29.0,Agreement
19.Pink.79,06:29.3,06:31.1,Confirmation
19.Pink.82,06:35.3,06:37.2,Confirmation
19.Pink.83,06:37.2,06:39.2,Confirmation
19.Pink.84,06:40.0,06:41.5,Confirmation
19.Pink.85,06:41.9,06:43.9,Confirmation
19.Pink.87,06:45.8,06:47.5,Confirmation
19.Pink.90,06:53.0,06:55.3,Confirmation
19.Pink.91,06:55.5,06:56.9,Confirmation
19.Pink.92,06:57.9,06:59.4,Confirmation
19.Pink.93,06:59.4,07:01.7,Confirmation
