Participant,Start,End,Decision 
6.Green.16,01:44.5,01:46.3,Proposal
6.Blue.13,01:46.3,01:46.9,Agreement
6.Orange.6,01:46.4,01:46.9,Agreement
6.Orange.7,01:47.5,01:47.9,Agreement
6.Blue.14,01:47.5,01:47.9,Agreement
6.Green.38,03:09.6,03:11.3,Proposal
6.Green.42,03:20.3,03:21.7,Proposal
6.Green.43,03:21.7,03:23.3,Proposal
6.Pink.48,03:23.2,03:24.0,Agreement
6.Orange.12,03:23.4,03:23.9,Agreement
6.Blue.30,03:23.4,03:24.1,Agreement
6.Green.58,04:08.4,04:10.1,Proposal
6.Pink.64,04:10.0,04:11.8,Agreement
6.Blue.39,04:11.3,04:12.0,Agreement
6.Pink.65,04:13.8,04:14.7,Proposal
6.Orange.20,04:15.4,04:16.9,Agreement
6.Green.62,04:15.8,04:16.3,Agreement
6.Blue.40,04:17.2,04:17.7,Agreement
6.Pink.67,04:21.2,04:31.8,Proposal
6.Green.68,04:31.2,04:32.6,Agreement
6.Blue.42,04:32.6,04:33.2,Agreement
6.Pink.70,04:43.4,04:49.0,Proposal
6.Blue.49,05:00.7,05:01.2,Agreement
6.Green.74,05:01.9,05:03.1,Confirmation
6.Pink.74,05:02.2,05:02.8,Agreement
6.Pink.75,05:05.0,05:05.6,Agreement
6.Orange.21,05:05.3,05:06.0,Agreement
6.Blue.50,05:05.4,05:05.7,Agreement
6.Green.80,05:19.3,05:20.8,Proposal
6.Green.81,05:20.8,05:22.7,Confirmation
6.Green.82,05:25.9,05:26.8,Proposal
6.Pink.78,05:26.8,05:28.8,Agreement
6.Blue.54,05:27.5,05:32.0,Disagreement
6.Blue.55,05:32.0,05:38.2,Disagreement
6.Blue.56,05:38.2,05:41.6,Disagreement
6.Blue.57,05:42.1,05:48.0,Disagreement
6.Green.89,06:00.3,06:02.4,Proposal
6.Pink.88,06:02.1,06:05.9,Agreement
6.Green.90,06:02.4,06:04.8,Proposal
6.Blue.59,06:13.1,06:14.0,Agreement
6.Blue.62,06:22.8,06:33.0,Proposal
6.Orange.25,06:30.5,06:31.7,Agreement
6.Blue.63,06:33.0,06:35.3,Proposal
6.Green.94,06:43.4,06:48.6,Proposal
6.Pink.102,07:02.9,07:05.1,Proposal
6.Green.101,07:04.3,07:05.1,Confirmation
6.Green.123,08:06.7,08:10.9,Proposal
6.Orange.32,08:13.2,08:14.6,Proposal
6.Pink.121,08:13.5,08:13.9,Agreement
6.Blue.82,08:14.0,08:16.8,Agreement & Proposal
6.Pink.122,08:14.3,08:15.3,Agreement
6.Green.125,08:14.8,08:16.7,Agreement & Proposal
6.Pink.123,08:16.5,08:17.1,Agreement
6.Blue.83,08:19.8,08:21.8,Proposal
6.Green.128,08:21.8,08:22.3,Agreement
6.Green.129,08:22.4,08:24.1,Confirmation
6.Orange.33,08:25.6,08:26.8,Proposal
6.Green.132,08:27.3,08:29.0,Proposal
6.Blue.84,08:27.6,08:29.2,Agreement
6.Pink.124,08:29.0,08:29.9,Agreement
