Participant,Start,End,Decision 
8.Orange.3,00:09.9,00:11.5,Proposal
8.Blue.3,00:10.6,00:11.1,Agreement
8.Green.3,00:11.7,00:12.3,Agreement
8.Green.10,00:41.1,00:43.6,Proposal
8.Blue.11,00:42.7,00:44.3,Agreement
8.Green.18,01:27.8,01:29.6,Proposal
8.Blue.17,01:28.7,01:29.0,Agreement
8.Blue.18,01:29.2,01:30.5,Agreement
8.Green.19,01:29.6,01:30.5,Proposal
8.Orange.26,01:31.2,01:31.7,Agreement
8.Orange.41,02:26.6,02:29.7,Proposal
8.Green.32,02:29.9,02:30.3,Agreement
8.Blue.39,03:24.0,03:25.1,Proposal
8.Orange.63,03:25.9,03:26.9,Agreement
8.Orange.65,03:28.9,03:31.7,Agreement
8.Green.41,03:31.5,03:32.5,Confirmation
8.Green.42,03:32.5,03:33.0,Agreement
8.Green.55,04:29.7,04:31.3,Proposal
8.Orange.85,04:31.3,04:32.1,Agreement
8.Orange.99,05:05.8,05:10.5,Proposal
8.Green.69,05:11.4,05:11.7,Agreement
8.Blue.56,05:12.0,05:12.4,Agreement
8.Green.70,05:12.2,05:12.5,Agreement
8.Green.71,05:12.9,05:13.7,Confirmation
8.Blue.59,05:29.7,05:33.7,Proposal
8.Green.76,05:33.7,05:35.0,Disagreement
8.Green.78,05:43.6,05:45.7,Proposal
8.Orange.106,05:45.2,05:45.5,Agreement
8.Green.79,05:47.8,05:49.8,Confirmation
8.Green.90,06:22.4,06:24.7,Proposal
8.Orange.120,06:24.6,06:25.1,Agreement
8.Green.97,06:50.9,06:56.5,Proposal
8.Orange.125,06:51.4,06:53.0,Proposal
8.Green.98,06:56.5,07:01.1,Proposal
8.Orange.127,07:01.3,07:03.6,Agreement
8.Blue.73,07:03.5,07:04.7,Agreement
8.Orange.132,07:17.0,07:19.8,Proposal
8.Green.106,07:19.1,07:21.3,Agreement
8.Green.107,07:22.1,07:22.5,Agreement
8.Blue.76,07:22.5,07:23.2,Agreement
8.Green.108,07:23.2,07:23.8,Agreement
8.Orange.148,08:01.2,08:06.1,Proposal
8.Green.116,08:06.2,08:07.4,Agreement
8.Orange.149,08:12.0,08:13.8,Proposal
8.Green.118,08:13.8,08:14.4,Agreement
8.Green.119,08:15.0,08:16.9,Confirmation
8.Blue.79,08:26.9,08:29.9,Proposal
8.Orange.154,08:29.0,08:29.7,Agreement
8.Orange.155,08:29.7,08:31.7,Agreement
8.Green.123,08:29.9,08:30.5,Agreement
8.Green.124,08:30.9,08:32.1,Confirmation
8.Orange.157,08:33.3,08:36.0,Proposal
8.Orange.164,08:50.2,08:53.7,Proposal
8.Green.130,08:51.4,08:52.7,Proposal
8.Green.131,08:53.7,08:54.1,Agreement
8.Blue.85,08:53.7,08:54.3,Agreement
