Participant,Start,End,Decision 
18.Blue.1,00:01.5,00:04.5,Proposal
18.Pink.2,00:04.1,00:04.6,Agreement
18.Orange.1,00:08.1,00:09.4,Proposal
18.Orange.4,00:15.9,00:22.4,Disagreement
18.Orange.6,00:28.2,00:29.5,Agreement
18.Orange.8,00:35.9,00:36.8,Agreement
18.Orange.11,01:09.7,01:14.1,Proposal
18.Pink.20,01:18.1,01:19.7,Agreement
18.Pink.23,01:36.5,01:41.5,Disagreement
18.Blue.11,01:40.1,01:40.6,Disagreement
18.Blue.12,01:44.1,01:47.3,Disagreement
18.Blue.13,01:51.5,01:53.0,Disagreement
18.Pink.30,02:18.9,02:19.5,Agreement
18.Pink.31,02:19.5,02:20.6,Agreement
18.Pink.32,02:23.0,02:23.9,Agreement
18.Pink.33,02:23.9,02:25.5,Agreement
18.Pink.49,03:44.8,03:50.3,Proposal
18.Blue.30,03:51.6,03:52.1,Agreement
18.Orange.30,03:58.3,04:00.9,Proposal
18.Pink.52,04:05.7,04:08.4,Confirmation
18.Pink.53,04:09.6,04:11.5,Confirmation
18.Blue.31,04:11.7,04:12.0,Agreement
18.Pink.54,04:15.4,04:17.6,Proposal
18.Blue.32,04:18.2,04:19.7,Agreement
18.Orange.32,04:18.3,04:19.1,Agreement
18.Pink.67,05:05.8,05:09.6,Proposal
18.Blue.41,05:09.8,05:10.3,Agreement
18.Pink.80,06:17.0,06:22.6,Proposal
18.Pink.89,06:51.6,06:52.7,Proposal
18.Pink.90,06:52.7,06:54.1,Proposal
18.Pink.91,06:54.7,06:58.9,Proposal
18.Orange.55,07:09.2,07:22.1,Proposal
18.Blue.51,07:26.8,07:31.9,Agreement
18.Pink.95,07:28.5,07:28.9,Agreement
18.Orange.59,07:40.9,07:42.4,Proposal
18.Pink.97,07:42.9,07:45.0,Disagreement
18.Pink.98,07:47.9,07:50.0,Agreement
18.Pink.99,07:50.1,07:53.2,Agreement
18.Pink.110,08:26.6,08:27.7,Agreement
18.Pink.128,09:38.5,09:39.7,Proposal
18.Blue.65,09:40.1,09:42.0,Agreement
18.Pink.146,11:18.2,11:21.8,Proposal
18.Orange.74,11:27.7,11:31.3,Disagreement
18.Blue.76,11:44.5,11:48.2,Proposal
18.Pink.154,11:52.8,11:53.4,Agreement
18.Pink.155,11:54.1,11:54.9,Agreement
18.Orange.78,12:33.4,12:35.4,Proposal
18.Pink.169,12:43.3,12:45.6,Agreement
18.Pink.179,13:38.3,13:40.8,Proposal
18.Pink.188,14:16.0,14:19.0,Proposal
18.Blue.91,14:19.0,14:19.9,Agreement
18.Orange.89,14:19.9,14:20.5,Agreement
18.Pink.198,14:47.6,14:49.8,Proposal
18.Blue.95,14:49.5,14:49.9,Agreement
18.Blue.96,14:50.6,14:53.6,Proposal
18.Orange.91,14:51.7,14:53.0,Agreement
18.Pink.201,14:53.8,14:56.9,Confirmation
18.Pink.202,14:58.7,15:01.8,Proposal
18.Blue.97,15:10.0,15:12.5,Proposal
18.Pink.206,15:12.1,15:12.8,Confirmation
