Participant,Start,End,Decision 
21.Blue.19,01:37.9,01:41.7,Proposal
21.Pink.14,01:39.4,01:41.7,Agreement
21.Orange.11,01:40.9,01:41.5,Agreement
21.Pink.15,01:41.7,01:42.7,Confirmation
21.Blue.22,01:46.9,01:50.9,Proposal
21.Pink.17,01:55.8,01:56.3,Agreement
21.Orange.12,01:58.0,01:58.4,Agreement
21.Pink.18,01:58.4,02:00.0,Agreement
21.Pink.26,02:34.5,02:36.5,Proposal
21.Blue.32,02:36.5,02:38.1,Agreement
21.Orange.18,02:38.1,02:39.1,Agreement
21.Blue.33,02:41.8,02:46.9,Proposal
21.Pink.29,03:01.7,03:02.2,Agreement
21.Orange.19,03:02.1,03:02.6,Agreement
21.Orange.20,03:03.0,03:04.3,Agreement
21.Pink.30,03:03.8,03:04.1,Agreement
21.Pink.31,03:09.6,03:11.3,Proposal
21.Blue.36,03:17.1,03:21.1,Agreement
21.Orange.21,03:21.5,03:24.4,Agreement
21.Orange.22,03:35.1,03:36.6,Proposal
21.Blue.38,03:36.9,03:39.3,Agreement
21.Pink.37,03:40.0,03:40.4,Agreement
21.Pink.40,03:54.3,04:03.0,Proposal
21.Blue.44,04:10.7,04:15.4,Disagreement
21.Blue.45,04:16.0,04:20.9,Disagreement
21.Pink.49,05:04.0,05:06.3,Proposal
21.Orange.27,05:06.4,05:06.8,Agreement
21.Orange.28,05:28.5,05:30.9,Proposal
21.Blue.55,05:30.9,05:31.4,Agreement
21.Pink.52,05:31.2,05:31.7,Agreement
21.Blue.56,05:38.7,05:39.4,Proposal
21.Pink.54,05:39.4,05:39.9,Agreement
21.Orange.29,05:39.8,05:40.2,Agreement
21.Blue.58,05:48.5,05:49.5,Proposal
21.Pink.55,05:52.6,05:53.1,Agreement
21.Pink.56,05:53.1,05:57.1,Agreement
21.Orange.30,05:55.4,05:55.7,Agreement
21.Orange.31,06:31.3,06:35.5,Proposal
21.Pink.61,06:35.9,06:36.3,Agreement
21.Blue.63,06:47.9,06:50.6,Proposal
21.Pink.63,06:50.6,06:52.2,Agreement
21.Pink.65,06:57.7,06:59.8,Proposal
21.Blue.64,07:00.8,07:01.2,Agreement
21.Blue.66,07:14.1,07:16.7,Proposal
21.Pink.67,07:17.7,07:20.9,Agreement
21.Pink.68,07:21.6,07:22.6,Agreement
21.Pink.69,07:23.8,07:27.0,Agreement
