Participant,Start,End,Decision 
17.Blue.1,00:03.3,00:09.7,Proposal
17.Orange.3,00:10.0,00:10.4,Agreement
17.Yellow.1,00:11.7,00:13.3,Agreement
17.Pink.1,00:13.6,00:14.8,Agreement
17.Blue.5,00:25.6,00:31.0,Proposal
17.Orange.7,00:45.1,00:56.3,Proposal & Disagreement
17.Pink.2,00:58.9,00:59.3,Agreement
17.Blue.8,00:59.4,00:59.8,Agreement
17.Blue.9,01:01.8,01:07.2,Proposal
17.Pink.3,01:02.6,01:04.2,Agreement
17.Pink.4,01:05.0,01:05.5,Agreement
17.Orange.10,01:05.3,01:10.0,Proposal & Disagreement
17.Pink.6,01:20.9,01:22.1,Agreement
17.Blue.10,01:23.9,01:28.5,Disagreement
17.Blue.11,01:28.5,01:31.2,Disagreement
17.Orange.16,01:31.8,01:32.3,Agreement
17.Orange.18,01:44.8,01:45.3,Agreement
17.Orange.19,01:46.1,01:46.6,Agreement
17.Blue.14,01:51.6,01:58.5,Proposal
17.Orange.22,01:55.3,01:55.7,Agreement
17.Pink.8,01:56.1,01:56.5,Agreement
17.Orange.23,01:57.7,01:58.1,Agreement
17.Orange.24,01:58.4,02:00.5,Agreement
17.Blue.15,02:00.5,02:04.6,Proposal
17.Orange.25,02:00.8,02:01.4,Confirmation
17.Orange.26,02:04.8,02:05.7,Agreement
17.Pink.9,02:06.4,02:07.6,Proposal
17.Blue.16,02:08.0,02:14.0,Agreement
17.Orange.34,03:09.4,03:11.5,Proposal
17.Pink.12,03:11.3,03:12.4,Agreement
17.Blue.27,03:11.7,03:13.5,Agreement
17.Blue.31,03:26.5,03:30.1,Proposal
17.Pink.15,03:31.1,03:31.5,Agreement
17.Orange.38,03:31.6,03:32.1,Agreement
17.Blue.59,06:30.7,06:37.6,Proposal
17.Pink.35,06:37.6,06:38.9,Proposal
17.Orange.72,06:37.8,06:38.3,Agreement
17.Blue.60,06:38.9,06:39.3,Agreement
17.Blue.61,06:39.3,06:40.8,Proposal
17.Blue.62,06:41.2,06:42.9,Proposal
17.Pink.37,06:43.8,06:45.6,Proposal
17.Blue.65,06:45.7,06:47.8,Proposal
17.Orange.73,06:50.0,06:55.7,Disagreement
17.Blue.67,07:14.0,07:35.3,Disagreement
17.Orange.79,07:51.6,07:52.6,Proposal
17.Pink.42,07:56.3,07:57.5,Proposal
17.Blue.74,07:59.5,08:06.5,Proposal
17.Blue.75,08:07.4,08:11.2,Agreement
17.Blue.76,08:11.2,08:14.9,Disagreement
17.Blue.77,08:17.6,08:22.0,Disagreement
17.Blue.78,08:22.1,08:24.8,Proposal
17.Orange.83,08:25.4,08:28.7,Disagreement
17.Blue.86,08:58.8,09:00.8,Proposal
17.Blue.92,09:32.7,09:34.5,Confirmation
17.Blue.93,09:41.5,09:45.4,Proposal
17.Orange.99,09:45.3,09:45.7,Agreement
17.Orange.100,09:45.7,09:47.6,Proposal
17.Blue.94,09:47.3,09:49.4,Proposal
17.Yellow.5,10:15.5,10:19.1,Proposal & Disagreement
17.Blue.100,10:38.0,10:42.1,Proposal
17.Pink.53,10:46.6,10:47.9,Agreement
17.Pink.54,10:48.3,10:50.0,Confirmation
17.Pink.70,11:45.0,11:46.2,Confirmation
17.Pink.71,11:46.2,11:48.2,Confirmation
17.Pink.72,11:48.2,11:49.4,Confirmation
17.Blue.107,11:48.5,11:49.4,Confirmation
17.Blue.108,11:49.8,11:51.5,Confirmation
17.Pink.73,11:50.9,11:51.5,Confirmation
17.Blue.109,11:52.8,11:55.1,Confirmation
17.Blue.110,11:55.1,11:57.5,Confirmation
17.Blue.114,12:33.0,12:34.6,Confirmation
17.Pink.86,12:39.5,12:41.9,Confirmation
17.Pink.87,12:41.9,12:44.1,Confirmation
17.Pink.88,12:44.1,12:45.5,Confirmation
17.Pink.89,12:45.9,12:47.9,Confirmation
17.Pink.90,12:47.9,12:50.0,Confirmation
17.Pink.91,12:50.0,12:51.1,Confirmation
17.Pink.92,12:51.1,12:52.6,Confirmation
17.Pink.93,12:52.6,12:55.6,Confirmation
17.Pink.94,12:55.6,12:58.2,Confirmation
17.Pink.95,12:58.2,12:59.3,Confirmation
17.Pink.96,12:59.8,13:01.4,Confirmation
17.Pink.97,13:01.4,13:02.6,Confirmation
17.Pink.98,13:03.1,13:04.8,Confirmation
17.Pink.99,13:04.8,13:07.5,Confirmation
