Participant,Start,End,Decision 
20.Pink.6,00:47.5,00:52.9,Proposal
20.Blue.11,00:53.6,00:54.5,Agreement
20.Blue.13,01:07.1,01:09.4,Agreement
20.Orange.8,01:09.4,01:10.0,Agreement
20.Blue.14,01:09.7,01:11.0,Confirmation
20.Pink.8,01:11.2,01:11.6,Agreement
20.Orange.9,01:11.5,01:12.0,Agreement
20.Blue.17,01:28.4,01:29.5,Proposal
20.Orange.10,01:30.5,01:30.8,Agreement
20.Blue.18,01:36.2,01:37.9,Proposal
20.Pink.11,01:38.5,01:39.1,Agreement
20.Orange.11,01:41.2,01:42.6,Agreement
20.Blue.21,01:44.5,01:45.2,Confirmation
20.Blue.25,02:02.5,02:03.3,Proposal
20.Orange.15,02:03.3,02:03.8,Agreement
20.Pink.13,02:03.3,02:03.7,Agreement
20.Blue.26,02:06.7,02:09.1,Proposal
20.Pink.14,02:10.9,02:12.4,Agreement
20.Blue.34,02:51.4,02:53.2,Proposal
20.Orange.18,03:03.6,03:06.2,Proposal & Disagreement
20.Blue.36,03:06.3,03:06.7,Agreement
20.Blue.37,03:08.1,03:08.6,Agreement
20.Blue.38,03:09.6,03:11.1,Proposal
20.Orange.20,03:11.1,03:11.6,Agreement
20.Blue.46,03:35.2,03:36.2,Proposal
20.Blue.49,03:57.5,04:00.7,Proposal
20.Pink.19,04:01.4,04:03.4,Agreement
20.Blue.56,04:20.4,04:21.4,Proposal
20.Blue.57,04:26.4,04:28.1,Proposal
20.Orange.29,04:31.0,04:32.2,Agreement
20.Blue.60,04:37.7,04:39.8,Proposal
20.Pink.22,04:41.2,04:43.7,Agreement
20.Blue.68,05:06.2,05:07.6,Proposal
20.Orange.32,05:09.8,05:10.9,Agreement
20.Pink.25,05:50.4,05:51.7,Proposal
20.Blue.75,05:51.4,05:52.1,Agreement
20.Blue.76,05:53.0,05:53.7,Agreement
20.Blue.78,06:00.1,06:02.7,Proposal
20.Pink.26,06:03.2,06:03.6,Agreement
20.Orange.33,06:03.7,06:04.1,Agreement
20.Blue.80,06:05.5,06:08.0,Proposal
